2023/12/8 17:16:53	"MAC Address"	"Vendor"	"SSID"	"Access Point Name"	"Connected AP"	"Signal Strength"	"Quality"	"Station Count"	"Frequency"	"Position"	"Info"	"Adapter"
2023/12/8 17:16:54	D0:4D:C6:F3:0D:42	"Aruba, a Hewlett Packard Enterprise Company"	"TUD-facility"	""	""	-83	31	"0"	"Ch 11 [2.462 GHz]"	""	"0 Stations, 22% Channel Utilization"	"WLAN [Intel(R) Wi-Fi 6 AX200 160MHz]"
2023/12/8 17:16:54	1C:28:AF:66:3C:51	"Aruba, a Hewlett Packard Enterprise Company"	"tudelft-dastud"	""	""	-83	31	"0"	"Ch 153 [5.765 GHz]"	""	"0 Stations, 1% Channel Utilization"	"WLAN [Intel(R) Wi-Fi 6 AX200 160MHz]"
2023/12/8 17:16:54	D0:4D:C6:F2:3A:A1	"Aruba, a Hewlett Packard Enterprise Company"	"tudelft-dastud"	""	""	-85	26	"0"	"Ch 1 [2.412 GHz]"	""	"0 Stations, 12% Channel Utilization"	"WLAN [Intel(R) Wi-Fi 6 AX200 160MHz]"
2023/12/8 17:16:54	D0:4D:C6:F3:0D:40	"Aruba, a Hewlett Packard Enterprise Company"	"eduroam"	""	""	-87	22	"0"	"Ch 11 [2.462 GHz]"	""	"0 Stations, 22% Channel Utilization"	"WLAN [Intel(R) Wi-Fi 6 AX200 160MHz]"
2023/12/8 17:16:54	D0:4D:C6:F2:B6:62	"Aruba, a Hewlett Packard Enterprise Company"	"TUD-facility"	""	""	-88	20	"0"	"Ch 1 [2.412 GHz]"	""	"0 Stations, 5% Channel Utilization"	"WLAN [Intel(R) Wi-Fi 6 AX200 160MHz]"
2023/12/8 17:16:54	1C:28:AF:66:3C:52	"Aruba, a Hewlett Packard Enterprise Company"	"TUD-facility"	""	""	-88	20	"0"	"Ch 153 [5.765 GHz]"	""	"0 Stations, 0% Channel Utilization"	"WLAN [Intel(R) Wi-Fi 6 AX200 160MHz]"
2023/12/8 17:16:54	1C:28:AF:62:13:70	"Aruba, a Hewlett Packard Enterprise Company"	"eduroam"	""	""	-88	20	"0"	"Ch 100 [5.500 GHz]"	""	"0 Stations, 1% Channel Utilization"	"WLAN [Intel(R) Wi-Fi 6 AX200 160MHz]"
2023/12/8 17:16:54	D0:4D:C6:F2:3A:B0	"Aruba, a Hewlett Packard Enterprise Company"	"eduroam"	""	""	-88	20	"3"	"Ch 60 [5.300 GHz]"	""	"3 Stations, 1% Channel Utilization"	"WLAN [Intel(R) Wi-Fi 6 AX200 160MHz]"
2023/12/8 17:16:54	D0:4D:C6:F2:3A:B1	"Aruba, a Hewlett Packard Enterprise Company"	"tudelft-dastud"	""	""	-88	20	"1"	"Ch 60 [5.300 GHz]"	""	"1 Station, 1% Channel Utilization"	"WLAN [Intel(R) Wi-Fi 6 AX200 160MHz]"
2023/12/8 17:16:54	D0:4D:C6:F2:B6:60	"Aruba, a Hewlett Packard Enterprise Company"	"eduroam"	""	""	-81	35	"0"	"Ch 1 [2.412 GHz]"	""	"0 Stations, 6% Channel Utilization"	"WLAN [Intel(R) Wi-Fi 6 AX200 160MHz]"
