11-12-2023 12:57:13	"MAC Address"	"Vendor"	"SSID"	"Access Point Name"	"Connected AP"	"Signal Strength"	"Quality"	"Station Count"	"Frequency"	"Position"	"Info"	"Adapter"
11-12-2023 12:57:15	1C:28:AF:5B:8E:E2	""	"TUD-facility"	""	""	-79	40	"0"	"Ch 6 [2.437 GHz]"	""	"0 Stations, 37% Channel Utilization"	"Wi-Fi [Intel(R) Dual Band Wireless-AC 8265]"
11-12-2023 12:57:15	D0:4D:C6:F2:C7:F2	""	"TUD-facility"	""	""	-79	40	"0"	"Ch 56 [5.280 GHz]"	""	"0 Stations, 12% Channel Utilization"	"Wi-Fi [Intel(R) Dual Band Wireless-AC 8265]"
11-12-2023 12:57:15	1C:28:AF:5C:43:E2	""	"TUD-facility"	""	""	-79	40	"0"	"Ch 11 [2.462 GHz]"	""	"0 Stations, 56% Channel Utilization"	"Wi-Fi [Intel(R) Dual Band Wireless-AC 8265]"
11-12-2023 12:57:15	D0:4D:C6:F3:14:D2	""	"TUD-facility"	""	""	-79	40	"0"	"Ch 132 [5.660 GHz]"	""	"0 Stations, 36% Channel Utilization"	"Wi-Fi [Intel(R) Dual Band Wireless-AC 8265]"
11-12-2023 12:57:15	D0:4D:C6:F2:B2:B0	""	"eduroam"	""	""	-79	40	"2"	"Ch 104 [5.520 GHz]"	""	"2 Stations, 4% Channel Utilization"	"Wi-Fi [Intel(R) Dual Band Wireless-AC 8265]"
11-12-2023 12:57:15	1C:28:AF:65:D3:62	""	"TUD-facility"	""	""	-79	40	"0"	"Ch 11 [2.462 GHz]"	""	"0 Stations, 15% Channel Utilization"	"Wi-Fi [Intel(R) Dual Band Wireless-AC 8265]"
11-12-2023 12:57:15	1C:28:AF:66:4C:C2	""	"TUD-facility"	""	""	-79	40	"0"	"Ch 1 [2.412 GHz]"	""	"0 Stations, 16% Channel Utilization"	"Wi-Fi [Intel(R) Dual Band Wireless-AC 8265]"
11-12-2023 12:57:15	1C:28:AF:65:D3:61	""	"tudelft-dastud"	""	""	-79	40	"0"	"Ch 11 [2.462 GHz]"	""	"0 Stations, 15% Channel Utilization"	"Wi-Fi [Intel(R) Dual Band Wireless-AC 8265]"
11-12-2023 12:57:15	1C:28:AF:66:4C:C0	""	"eduroam"	""	""	-79	40	"5"	"Ch 1 [2.412 GHz]"	""	"5 Stations, 20% Channel Utilization"	"Wi-Fi [Intel(R) Dual Band Wireless-AC 8265]"
11-12-2023 12:57:15	D0:4D:C6:F3:09:C1	""	"tudelft-dastud"	""	""	-50	88	"0"	"Ch 11 [2.462 GHz]"	""	"0 Stations, 6% Channel Utilization"	"Wi-Fi [Intel(R) Dual Band Wireless-AC 8265]"
11-12-2023 12:57:15	D0:4D:C6:F2:C7:E0	""	"eduroam"	""	""	-79	40	"0"	"Ch 11 [2.462 GHz]"	""	"0 Stations, 39% Channel Utilization"	"Wi-Fi [Intel(R) Dual Band Wireless-AC 8265]"
11-12-2023 12:57:15	D0:4D:C6:F2:9A:60	""	"eduroam"	""	""	-76	50	"1"	"Ch 1 [2.412 GHz]"	""	"1 Station, 19% Channel Utilization"	"Wi-Fi [Intel(R) Dual Band Wireless-AC 8265]"
11-12-2023 12:57:15	D0:4D:C6:F2:A9:91	""	"tudelft-dastud"	""	""	-77	46	"0"	"Ch 132 [5.660 GHz]"	""	"0 Stations, 5% Channel Utilization"	"Wi-Fi [Intel(R) Dual Band Wireless-AC 8265]"
11-12-2023 12:57:15	D0:4D:C6:F2:87:91	""	"tudelft-dastud"	""	""	-79	40	"1"	"Ch 132 [5.660 GHz]"	""	"1 Station, 6% Channel Utilization"	"Wi-Fi [Intel(R) Dual Band Wireless-AC 8265]"
11-12-2023 12:57:15	D0:4D:C6:F3:14:C2	""	"TUD-facility"	""	""	-79	40	"0"	"Ch 6 [2.437 GHz]"	""	"0 Stations, 18% Channel Utilization"	"Wi-Fi [Intel(R) Dual Band Wireless-AC 8265]"
11-12-2023 12:57:15	D0:4D:C6:F2:87:90	""	"eduroam"	""	""	-79	40	"30"	"Ch 132 [5.660 GHz]"	""	"30 Stations, 6% Channel Utilization"	"Wi-Fi [Intel(R) Dual Band Wireless-AC 8265]"
11-12-2023 12:57:15	D0:4D:C6:F2:B9:D2	""	"TUD-facility"	""	""	-61	82	"0"	"Ch 112 [5.560 GHz]"	""	"0 Stations, 2% Channel Utilization"	"Wi-Fi [Intel(R) Dual Band Wireless-AC 8265]"
11-12-2023 12:57:15	D0:4D:C6:F2:B9:D0	""	"eduroam"	""	"Connected AP"	-58	89	"2"	"Ch 112 [5.560 GHz]"	""	"2 Stations, 1% Channel Utilization"	"Wi-Fi [Intel(R) Dual Band Wireless-AC 8265]"
