11-12-2023 13:03:34	"MAC Address"	"Vendor"	"SSID"	"Access Point Name"	"Connected AP"	"Signal Strength"	"Quality"	"Station Count"	"Frequency"	"Position"	"Info"	"Adapter"
11-12-2023 13:03:35	1C:28:AF:5B:29:C0	"Aruba, a Hewlett Packard Enterprise Company"	"eduroam"	""	""	-76	50	"1"	"Ch 11 [2.462 GHz]"	""	"1 Station, 8% Channel Utilization"	"Wi-Fi [Intel(R) Wireless-AC 9560 160MHz]"
11-12-2023 13:03:35	1C:28:AF:62:98:40	"Aruba, a Hewlett Packard Enterprise Company"	"eduroam"	""	""	-86	24	"0"	"Ch 11 [2.462 GHz]"	""	"0 Stations, 11% Channel Utilization"	"Wi-Fi [Intel(R) Wireless-AC 9560 160MHz]"
11-12-2023 13:03:35	1C:28:AF:61:E3:B2	"Aruba, a Hewlett Packard Enterprise Company"	"TUD-facility"	""	""	-72	62	"0"	"Ch 104 [5.520 GHz]"	""	"0 Stations, 1% Channel Utilization"	"Wi-Fi [Intel(R) Wireless-AC 9560 160MHz]"
11-12-2023 13:03:35	1C:28:AF:5B:29:D0	"Aruba, a Hewlett Packard Enterprise Company"	"eduroam"	""	""	-85	26	"4"	"Ch 64 [5.320 GHz]"	""	"4 Stations, 3% Channel Utilization"	"Wi-Fi [Intel(R) Wireless-AC 9560 160MHz]"
11-12-2023 13:03:35	1C:28:AF:61:E3:B1	"Aruba, a Hewlett Packard Enterprise Company"	"tudelft-dastud"	""	""	-72	62	"2"	"Ch 104 [5.520 GHz]"	""	"2 Stations, 1% Channel Utilization"	"Wi-Fi [Intel(R) Wireless-AC 9560 160MHz]"
11-12-2023 13:03:35	1C:28:AF:61:E3:B0	"Aruba, a Hewlett Packard Enterprise Company"	"eduroam"	""	""	-72	62	"6"	"Ch 104 [5.520 GHz]"	""	"6 Stations, 1% Channel Utilization"	"Wi-Fi [Intel(R) Wireless-AC 9560 160MHz]"
11-12-2023 13:03:35	1C:28:AF:5B:2F:62	"Aruba, a Hewlett Packard Enterprise Company"	"TUD-facility"	""	""	-69	70	"0"	"Ch 6 [2.437 GHz]"	""	"0 Stations, 9% Channel Utilization"	"Wi-Fi [Intel(R) Wireless-AC 9560 160MHz]"
11-12-2023 13:03:35	1C:28:AF:5B:2F:61	"Aruba, a Hewlett Packard Enterprise Company"	"tudelft-dastud"	""	""	-69	70	"1"	"Ch 6 [2.437 GHz]"	""	"1 Station, 9% Channel Utilization"	"Wi-Fi [Intel(R) Wireless-AC 9560 160MHz]"
11-12-2023 13:03:35	1C:28:AF:61:E3:A2	"Aruba, a Hewlett Packard Enterprise Company"	"TUD-facility"	""	""	-71	65	"0"	"Ch 6 [2.437 GHz]"	""	"0 Stations, 9% Channel Utilization"	"Wi-Fi [Intel(R) Wireless-AC 9560 160MHz]"
11-12-2023 13:03:35	1C:28:AF:5B:58:30	"Aruba, a Hewlett Packard Enterprise Company"	"eduroam"	""	""	-78	43	"4"	"Ch 48 [5.240 GHz]"	""	"4 Stations, 5% Channel Utilization"	"Wi-Fi [Intel(R) Wireless-AC 9560 160MHz]"
