2023/12/8 17:09:06	"MAC Address"	"Vendor"	"SSID"	"Access Point Name"	"Connected AP"	"Signal Strength"	"Quality"	"Station Count"	"Frequency"	"Position"	"Info"	"Adapter"
2023/12/8 17:09:10	D0:4D:C6:F3:09:C2	"Aruba, a Hewlett Packard Enterprise Company"	"TUD-facility"	""	""	-74	57	"0"	"Ch 11 [2.462 GHz]"	""	"0 Stations, 10% Channel Utilization"	"WLAN [Intel(R) Wireless-AC 9560 160MHz]"
2023/12/8 17:09:10	1C:28:AF:62:01:D2	"Aruba, a Hewlett Packard Enterprise Company"	"TUD-facility"	""	""	-81	35	"0"	"Ch 36 [5.180 GHz]"	""	"0 Stations, 4% Channel Utilization"	"WLAN [Intel(R) Wireless-AC 9560 160MHz]"
2023/12/8 17:09:11	1C:28:AF:62:01:D1	"Aruba, a Hewlett Packard Enterprise Company"	"tudelft-dastud"	""	""	-81	35	"0"	"Ch 36 [5.180 GHz]"	""	"0 Stations, 4% Channel Utilization"	"WLAN [Intel(R) Wireless-AC 9560 160MHz]"
2023/12/8 17:09:11	D0:4D:C6:F2:A9:81	"Aruba, a Hewlett Packard Enterprise Company"	"tudelft-dastud"	""	""	-56	85	"0"	"Ch 6 [2.437 GHz]"	""	"0 Stations, 16% Channel Utilization"	"WLAN [Intel(R) Wireless-AC 9560 160MHz]"
2023/12/8 17:09:11	D0:4D:C6:F2:A9:80	"Aruba, a Hewlett Packard Enterprise Company"	"eduroam"	""	""	-56	85	"1"	"Ch 6 [2.437 GHz]"	""	"1 Station, 16% Channel Utilization"	"WLAN [Intel(R) Wireless-AC 9560 160MHz]"
2023/12/8 17:09:11	D0:4D:C6:F2:F2:02	"Aruba, a Hewlett Packard Enterprise Company"	"TUD-facility"	""	""	-73	60	"0"	"Ch 6 [2.437 GHz]"	""	"0 Stations, 14% Channel Utilization"	"WLAN [Intel(R) Wireless-AC 9560 160MHz]"
2023/12/8 17:09:11	D0:4D:C6:F2:A8:42	"Aruba, a Hewlett Packard Enterprise Company"	"TUD-facility"	""	""	-46	90	"0"	"Ch 6 [2.437 GHz]"	""	"0 Stations, 10% Channel Utilization"	"WLAN [Intel(R) Wireless-AC 9560 160MHz]"
2023/12/8 17:09:11	D0:4D:C6:F2:A8:41	"Aruba, a Hewlett Packard Enterprise Company"	"tudelft-dastud"	""	""	-46	90	"0"	"Ch 6 [2.437 GHz]"	""	"0 Stations, 10% Channel Utilization"	"WLAN [Intel(R) Wireless-AC 9560 160MHz]"
2023/12/8 17:09:11	D0:4D:C6:F2:A9:82	"Aruba, a Hewlett Packard Enterprise Company"	"TUD-facility"	""	""	-56	85	"0"	"Ch 6 [2.437 GHz]"	""	"0 Stations, 16% Channel Utilization"	"WLAN [Intel(R) Wireless-AC 9560 160MHz]"
2023/12/8 17:09:11	1C:28:AF:5C:43:F2	"Aruba, a Hewlett Packard Enterprise Company"	"TUD-facility"	""	""	-78	43	"0"	"Ch 112 [5.560 GHz]"	""	"0 Stations, 11% Channel Utilization"	"WLAN [Intel(R) Wireless-AC 9560 160MHz]"
2023/12/8 17:09:11	1C:28:AF:5C:43:F1	"Aruba, a Hewlett Packard Enterprise Company"	"tudelft-dastud"	""	""	-78	43	"0"	"Ch 112 [5.560 GHz]"	""	"0 Stations, 11% Channel Utilization"	"WLAN [Intel(R) Wireless-AC 9560 160MHz]"
2023/12/8 17:09:11	D0:4D:C6:F2:B2:B2	"Aruba, a Hewlett Packard Enterprise Company"	"TUD-facility"	""	""	-61	82	"0"	"Ch 104 [5.520 GHz]"	""	"0 Stations, 5% Channel Utilization"	"WLAN [Intel(R) Wireless-AC 9560 160MHz]"
2023/12/8 17:09:11	D0:4D:C6:F2:B2:B1	"Aruba, a Hewlett Packard Enterprise Company"	"tudelft-dastud"	""	""	-61	82	"0"	"Ch 104 [5.520 GHz]"	""	"0 Stations, 5% Channel Utilization"	"WLAN [Intel(R) Wireless-AC 9560 160MHz]"
2023/12/8 17:09:11	D0:4D:C6:F2:B2:B0	"Aruba, a Hewlett Packard Enterprise Company"	"eduroam"	""	""	-61	82	"1"	"Ch 104 [5.520 GHz]"	""	"1 Station, 5% Channel Utilization"	"WLAN [Intel(R) Wireless-AC 9560 160MHz]"
