12/13/2023 3:54:32 PM	"MAC Address"	"Vendor"	"SSID"	"Access Point Name"	"Connected AP"	"Signal Strength"	"Quality"	"Station Count"	"Frequency"	"Position"	"Info"	"Adapter"
12/13/2023 3:54:33 PM	1C:28:AF:66:4C:D1	""	"tudelft-dastud"	""	""	-83	31	"0"	"Ch 165 [5.825 GHz]"	""	"0 Stations, 1% Channel Utilization"	"Wi-Fi [Intel(R) Wireless-AC 9560 160MHz]"
12/13/2023 3:54:33 PM	1C:28:AF:66:4C:D0	""	"eduroam"	""	""	-84	29	"2"	"Ch 165 [5.825 GHz]"	""	"2 Stations, 1% Channel Utilization"	"Wi-Fi [Intel(R) Wireless-AC 9560 160MHz]"
12/13/2023 3:54:33 PM	D0:4D:C6:F2:9D:F2	""	"TUD-facility"	""	""	-80	38	"0"	"Ch 108 [5.540 GHz]"	""	"0 Stations, 69% Channel Utilization"	"Wi-Fi [Intel(R) Wireless-AC 9560 160MHz]"
12/13/2023 3:54:33 PM	D0:4D:C6:F2:61:21	""	"tudelft-dastud"	""	""	-56	85	"0"	"Ch 6 [2.437 GHz]"	""	"0 Stations, 34% Channel Utilization"	"Wi-Fi [Intel(R) Wireless-AC 9560 160MHz]"
12/13/2023 3:54:33 PM	1C:28:AF:66:2A:B1	""	"tudelft-dastud"	""	""	-85	26	"0"	"Ch 149 [5.745 GHz]"	""	"0 Stations, 4% Channel Utilization"	"Wi-Fi [Intel(R) Wireless-AC 9560 160MHz]"
12/13/2023 3:54:33 PM	1C:28:AF:66:2A:B0	""	"eduroam"	""	""	-84	29	"1"	"Ch 149 [5.745 GHz]"	""	"1 Station, 4% Channel Utilization"	"Wi-Fi [Intel(R) Wireless-AC 9560 160MHz]"
12/13/2023 3:54:33 PM	D0:4D:C6:F2:F2:90	""	"eduroam"	""	""	-87	22	"37"	"Ch 60 [5.300 GHz]"	""	"37 Stations, 3% Channel Utilization"	"Wi-Fi [Intel(R) Wireless-AC 9560 160MHz]"
12/13/2023 3:54:33 PM	1C:28:AF:5B:E5:51	""	"tudelft-dastud"	""	""	-73	60	"0"	"Ch 44 [5.220 GHz]"	""	"0 Stations, 16% Channel Utilization"	"Wi-Fi [Intel(R) Wireless-AC 9560 160MHz]"
12/13/2023 3:54:33 PM	1C:28:AF:5B:FC:81	""	"tudelft-dastud"	""	""	-82	33	"0"	"Ch 11 [2.462 GHz]"	""	"0 Stations, 44% Channel Utilization"	"Wi-Fi [Intel(R) Wireless-AC 9560 160MHz]"
12/13/2023 3:54:33 PM	1C:28:AF:5B:E5:50	""	"eduroam"	""	""	-73	60	"3"	"Ch 44 [5.220 GHz]"	""	"3 Stations, 16% Channel Utilization"	"Wi-Fi [Intel(R) Wireless-AC 9560 160MHz]"
12/13/2023 3:54:33 PM	D0:4D:C6:F2:EC:82	""	"TUD-facility"	""	""	-69	70	"0"	"Ch 6 [2.437 GHz]"	""	"0 Stations, 45% Channel Utilization"	"Wi-Fi [Intel(R) Wireless-AC 9560 160MHz]"
12/13/2023 3:54:33 PM	D0:4D:C6:F2:9D:F1	""	"tudelft-dastud"	""	""	-80	38	"0"	"Ch 108 [5.540 GHz]"	""	"0 Stations, 69% Channel Utilization"	"Wi-Fi [Intel(R) Wireless-AC 9560 160MHz]"
12/13/2023 3:54:33 PM	1C:28:AF:5C:09:61	""	"tudelft-dastud"	""	""	-59	83	"0"	"Ch 1 [2.412 GHz]"	""	"0 Stations, 38% Channel Utilization"	"Wi-Fi [Intel(R) Wireless-AC 9560 160MHz]"
12/13/2023 3:54:33 PM	1C:28:AF:5C:09:62	""	"TUD-facility"	""	""	-59	83	"0"	"Ch 1 [2.412 GHz]"	""	"0 Stations, 38% Channel Utilization"	"Wi-Fi [Intel(R) Wireless-AC 9560 160MHz]"
