12/8/2023 1:19:13 PM	"MAC Address"	"Vendor"	"SSID"	"Access Point Name"	"Connected AP"	"Signal Strength"	"Quality"	"Station Count"	"Frequency"	"Position"	"Info"	"Adapter"
12/8/2023 1:19:16 PM	D0:4D:C6:F2:A8:72	"Aruba, a Hewlett Packard Enterprise Company"	"TUD-facility"	""	""	-75	53	"0"	"Ch 48 [5.240 GHz]"	""	"0 Stations, 72% Channel Utilization"	"Wi-Fi [Intel(R) Wi-Fi 6 AX201 160MHz]"
12/8/2023 1:19:16 PM	D0:4D:C6:F2:A8:71	"Aruba, a Hewlett Packard Enterprise Company"	"tudelft-dastud"	""	""	-75	53	"1"	"Ch 48 [5.240 GHz]"	""	"1 Station, 72% Channel Utilization"	"Wi-Fi [Intel(R) Wi-Fi 6 AX201 160MHz]"
12/8/2023 1:19:16 PM	1C:28:AF:5B:39:C2	"Aruba, a Hewlett Packard Enterprise Company"	"TUD-facility"	""	""	-69	70	"0"	"Ch 11 [2.462 GHz]"	""	"0 Stations, 18% Channel Utilization"	"Wi-Fi [Intel(R) Wi-Fi 6 AX201 160MHz]"
12/8/2023 1:19:16 PM	1C:28:AF:5B:41:61	"Aruba, a Hewlett Packard Enterprise Company"	"tudelft-dastud"	""	""	-75	53	"0"	"Ch 11 [2.462 GHz]"	""	"0 Stations, 16% Channel Utilization"	"Wi-Fi [Intel(R) Wi-Fi 6 AX201 160MHz]"
12/8/2023 1:19:16 PM	1C:28:AF:5B:39:C1	"Aruba, a Hewlett Packard Enterprise Company"	"tudelft-dastud"	""	""	-69	70	"0"	"Ch 11 [2.462 GHz]"	""	"0 Stations, 18% Channel Utilization"	"Wi-Fi [Intel(R) Wi-Fi 6 AX201 160MHz]"
12/8/2023 1:19:16 PM	AC:15:A2:1A:D1:E9	"TP-Link Corporation Limited"	"TP-Link_D1E9"	""	""	-82	33	""	"Ch 11 [2.462 GHz]"	""	""	"Wi-Fi [Intel(R) Wi-Fi 6 AX201 160MHz]"
12/8/2023 1:19:16 PM	38:CA:84:7F:A9:F8	"HP Inc."	"DIRECT-F7-HP DeskJet 2700 series"	"DIRECT-F7-HP DeskJet 2700 series"	""	-76	50	""	"Ch 6 [2.437 GHz]"	""	"DIRECT-F7-HP DeskJet 2700 series"	"Wi-Fi [Intel(R) Wi-Fi 6 AX201 160MHz]"
12/8/2023 1:19:16 PM	D0:4D:C6:F2:A8:61	"Aruba, a Hewlett Packard Enterprise Company"	"tudelft-dastud"	""	""	-75	53	"0"	"Ch 6 [2.437 GHz]"	""	"0 Stations, 17% Channel Utilization"	"Wi-Fi [Intel(R) Wi-Fi 6 AX201 160MHz]"
12/8/2023 1:19:16 PM	1C:28:AF:5B:34:E2	"Aruba, a Hewlett Packard Enterprise Company"	"TUD-facility"	""	""	-61	82	"0"	"Ch 1 [2.412 GHz]"	""	"0 Stations, 18% Channel Utilization"	"Wi-Fi [Intel(R) Wi-Fi 6 AX201 160MHz]"
12/8/2023 1:19:16 PM	1C:28:AF:5B:34:E1	"Aruba, a Hewlett Packard Enterprise Company"	"tudelft-dastud"	""	""	-61	82	"0"	"Ch 1 [2.412 GHz]"	""	"0 Stations, 18% Channel Utilization"	"Wi-Fi [Intel(R) Wi-Fi 6 AX201 160MHz]"
