12/13/2023 3:29:11 PM	"MAC Address"	"Vendor"	"SSID"	"Access Point Name"	"Connected AP"	"Signal Strength"	"Quality"	"Station Count"	"Frequency"	"Position"	"Info"	"Adapter"
12/13/2023 3:29:11 PM	1C:28:AF:5C:39:E2	""	"TUD-facility"	""	""	-81	35	"0"	"Ch 1 [2.412 GHz]"	""	"0 Stations, 24% Channel Utilization"	"Wi-Fi [Intel(R) Wireless-AC 9560 160MHz]"
12/13/2023 3:29:11 PM	D0:4D:C6:F2:80:F2	""	"TUD-facility"	""	""	-86	24	"0"	"Ch 100 [5.500 GHz]"	""	"0 Stations, 8% Channel Utilization"	"Wi-Fi [Intel(R) Wireless-AC 9560 160MHz]"
12/13/2023 3:29:11 PM	D0:4D:C6:F2:80:F1	""	"tudelft-dastud"	""	""	-85	26	"1"	"Ch 100 [5.500 GHz]"	""	"1 Station, 8% Channel Utilization"	"Wi-Fi [Intel(R) Wireless-AC 9560 160MHz]"
12/13/2023 3:29:11 PM	1C:28:AF:5B:39:C2	""	"TUD-facility"	""	""	-66	78	"0"	"Ch 11 [2.462 GHz]"	""	"0 Stations, 10% Channel Utilization"	"Wi-Fi [Intel(R) Wireless-AC 9560 160MHz]"
12/13/2023 3:29:11 PM	1C:28:AF:5B:39:C1	""	"tudelft-dastud"	""	""	-66	78	"0"	"Ch 11 [2.462 GHz]"	""	"0 Stations, 10% Channel Utilization"	"Wi-Fi [Intel(R) Wireless-AC 9560 160MHz]"
12/13/2023 3:29:11 PM	1C:28:AF:5B:39:C0	""	"eduroam"	""	""	-66	78	"0"	"Ch 11 [2.462 GHz]"	""	"0 Stations, 10% Channel Utilization"	"Wi-Fi [Intel(R) Wireless-AC 9560 160MHz]"
12/13/2023 3:29:11 PM	D0:4D:C6:F2:A8:70	""	"eduroam"	""	"Connected AP"	-60	89	"5"	"Ch 64 [5.320 GHz]"	""	"5 Stations, 5% Channel Utilization"	"Wi-Fi [Intel(R) Wireless-AC 9560 160MHz]"
12/13/2023 3:29:11 PM	1C:28:AF:5B:41:72	""	"TUD-facility"	""	""	-81	35	"0"	"Ch 108 [5.540 GHz]"	""	"0 Stations, 1% Channel Utilization"	"Wi-Fi [Intel(R) Wireless-AC 9560 160MHz]"
12/13/2023 3:29:11 PM	1C:28:AF:5C:39:E1	""	"tudelft-dastud"	""	""	-82	33	"0"	"Ch 1 [2.412 GHz]"	""	"0 Stations, 24% Channel Utilization"	"Wi-Fi [Intel(R) Wireless-AC 9560 160MHz]"
12/13/2023 3:29:11 PM	1C:28:AF:5B:41:60	""	"eduroam"	""	""	-68	72	"2"	"Ch 11 [2.462 GHz]"	""	"2 Stations, 5% Channel Utilization"	"Wi-Fi [Intel(R) Wireless-AC 9560 160MHz]"
12/13/2023 3:29:11 PM	D0:4D:C6:F2:80:E0	""	"eduroam"	""	""	-77	46	"1"	"Ch 1 [2.412 GHz]"	""	"1 Station, 7% Channel Utilization"	"Wi-Fi [Intel(R) Wireless-AC 9560 160MHz]"
12/13/2023 3:29:11 PM	D0:4D:C6:F2:80:E2	""	"TUD-facility"	""	""	-77	46	"0"	"Ch 1 [2.412 GHz]"	""	"0 Stations, 7% Channel Utilization"	"Wi-Fi [Intel(R) Wireless-AC 9560 160MHz]"
12/13/2023 3:29:11 PM	1C:28:AF:5C:39:F1	""	"tudelft-dastud"	""	""	-82	33	"0"	"Ch 36 [5.180 GHz]"	""	"0 Stations, 0% Channel Utilization"	"Wi-Fi [Intel(R) Wireless-AC 9560 160MHz]"
12/13/2023 3:29:11 PM	1C:28:AF:5B:34:F2	""	"TUD-facility"	""	""	-71	65	"0"	"Ch 52 [5.260 GHz]"	""	"0 Stations, 7% Channel Utilization"	"Wi-Fi [Intel(R) Wireless-AC 9560 160MHz]"
12/13/2023 3:29:11 PM	1C:28:AF:5B:34:F1	""	"tudelft-dastud"	""	""	-72	62	"0"	"Ch 52 [5.260 GHz]"	""	"0 Stations, 7% Channel Utilization"	"Wi-Fi [Intel(R) Wireless-AC 9560 160MHz]"
12/13/2023 3:29:11 PM	1C:28:AF:5B:34:F0	""	"eduroam"	""	""	-72	62	"2"	"Ch 52 [5.260 GHz]"	""	"2 Stations, 7% Channel Utilization"	"Wi-Fi [Intel(R) Wireless-AC 9560 160MHz]"
12/13/2023 3:29:11 PM	D0:4D:C6:F2:A8:60	""	"eduroam"	""	""	-61	82	"0"	"Ch 6 [2.437 GHz]"	""	"0 Stations, 10% Channel Utilization"	"Wi-Fi [Intel(R) Wireless-AC 9560 160MHz]"
12/13/2023 3:29:11 PM	1C:28:AF:5C:39:E0	""	"eduroam"	""	""	-85	26	"0"	"Ch 1 [2.412 GHz]"	""	"0 Stations, 21% Channel Utilization"	"Wi-Fi [Intel(R) Wireless-AC 9560 160MHz]"
12/13/2023 3:29:11 PM	1C:28:AF:5B:41:62	""	"TUD-facility"	""	""	-68	72	"0"	"Ch 11 [2.462 GHz]"	""	"0 Stations, 5% Channel Utilization"	"Wi-Fi [Intel(R) Wireless-AC 9560 160MHz]"
12/13/2023 3:29:11 PM	D0:4D:C6:F2:80:E1	""	"tudelft-dastud"	""	""	-77	46	"0"	"Ch 1 [2.412 GHz]"	""	"0 Stations, 7% Channel Utilization"	"Wi-Fi [Intel(R) Wireless-AC 9560 160MHz]"
12/13/2023 3:29:11 PM	1C:28:AF:5C:39:F0	""	"eduroam"	""	""	-83	31	"1"	"Ch 36 [5.180 GHz]"	""	"1 Station, 0% Channel Utilization"	"Wi-Fi [Intel(R) Wireless-AC 9560 160MHz]"
12/13/2023 3:29:11 PM	1C:28:AF:5B:39:D0	""	"eduroam"	""	""	-77	46	"2"	"Ch 44 [5.220 GHz]"	""	"2 Stations, 5% Channel Utilization"	"Wi-Fi [Intel(R) Wireless-AC 9560 160MHz]"
12/13/2023 3:29:11 PM	1C:28:AF:5B:39:D2	""	"TUD-facility"	""	""	-77	46	"0"	"Ch 44 [5.220 GHz]"	""	"0 Stations, 5% Channel Utilization"	"Wi-Fi [Intel(R) Wireless-AC 9560 160MHz]"
12/13/2023 3:29:11 PM	1C:28:AF:5B:39:D1	""	"tudelft-dastud"	""	""	-77	46	"0"	"Ch 44 [5.220 GHz]"	""	"0 Stations, 5% Channel Utilization"	"Wi-Fi [Intel(R) Wireless-AC 9560 160MHz]"
