2023/12/8 17:51:05	"MAC Address"	"Vendor"	"SSID"	"Access Point Name"	"Connected AP"	"Signal Strength"	"Quality"	"Station Count"	"Frequency"	"Position"	"Info"	"Adapter"
2023/12/8 17:51:09	D0:4D:C6:F2:B0:60	"Aruba, a Hewlett Packard Enterprise Company"	"eduroam"	""	""	-73	60	"0"	"Ch 6 [2.437 GHz]"	""	"0 Stations, 13% Channel Utilization"	"WLAN [Intel(R) Wi-Fi 6 AX200 160MHz]"
2023/12/8 17:51:09	D0:4D:C6:F2:9B:C0	"Aruba, a Hewlett Packard Enterprise Company"	"eduroam"	""	""	-80	38	"1"	"Ch 11 [2.462 GHz]"	""	"1 Station, 13% Channel Utilization"	"WLAN [Intel(R) Wi-Fi 6 AX200 160MHz]"
2023/12/8 17:51:09	1C:28:AF:5B:E9:62	"Aruba, a Hewlett Packard Enterprise Company"	"TUD-facility"	""	""	-85	26	"0"	"Ch 1 [2.412 GHz]"	""	"0 Stations, 14% Channel Utilization"	"WLAN [Intel(R) Wi-Fi 6 AX200 160MHz]"
2023/12/8 17:51:09	D0:4D:C6:F2:F0:51	"Aruba, a Hewlett Packard Enterprise Company"	"tudelft-dastud"	""	""	-90	16	"2"	"Ch 100 [5.500 GHz]"	""	"2 Stations, 7% Channel Utilization"	"WLAN [Intel(R) Wi-Fi 6 AX200 160MHz]"
2023/12/8 17:51:09	D0:4D:C6:F2:B0:62	"Aruba, a Hewlett Packard Enterprise Company"	"TUD-facility"	""	""	-72	62	"0"	"Ch 6 [2.437 GHz]"	""	"0 Stations, 13% Channel Utilization"	"WLAN [Intel(R) Wi-Fi 6 AX200 160MHz]"
2023/12/8 17:51:09	D0:4D:C6:F2:81:B0	"Aruba, a Hewlett Packard Enterprise Company"	"eduroam"	""	""	-83	31	"2"	"Ch 36 [5.180 GHz]"	""	"2 Stations, 1% Channel Utilization"	"WLAN [Intel(R) Wi-Fi 6 AX200 160MHz]"
2023/12/8 17:51:09	D0:4D:C6:F2:02:F2	"Aruba, a Hewlett Packard Enterprise Company"	"TUD-facility"	""	""	-89	18	"0"	"Ch 56 [5.280 GHz]"	""	"0 Stations, 3% Channel Utilization"	"WLAN [Intel(R) Wi-Fi 6 AX200 160MHz]"
2023/12/8 17:51:09	D0:4D:C6:F2:B0:E1	"Aruba, a Hewlett Packard Enterprise Company"	"tudelft-dastud"	""	""	-79	40	"0"	"Ch 6 [2.437 GHz]"	""	"0 Stations, 16% Channel Utilization"	"WLAN [Intel(R) Wi-Fi 6 AX200 160MHz]"
2023/12/8 17:51:09	D0:4D:C6:F2:B0:E2	"Aruba, a Hewlett Packard Enterprise Company"	"TUD-facility"	""	""	-79	40	"0"	"Ch 6 [2.437 GHz]"	""	"0 Stations, 16% Channel Utilization"	"WLAN [Intel(R) Wi-Fi 6 AX200 160MHz]"
2023/12/8 17:51:09	D0:4D:C6:F2:B0:70	"Aruba, a Hewlett Packard Enterprise Company"	"eduroam"	""	""	-81	35	"14"	"Ch 112 [5.560 GHz]"	""	"14 Stations, 1% Channel Utilization"	"WLAN [Intel(R) Wi-Fi 6 AX200 160MHz]"
2023/12/8 17:51:09	D0:4D:C6:F1:33:32	"Aruba, a Hewlett Packard Enterprise Company"	"TUD-facility"	""	""	-83	31	"0"	"Ch 104 [5.520 GHz]"	""	"0 Stations, 5% Channel Utilization"	"WLAN [Intel(R) Wi-Fi 6 AX200 160MHz]"
2023/12/8 17:51:09	D0:4D:C6:F2:9B:C1	"Aruba, a Hewlett Packard Enterprise Company"	"tudelft-dastud"	""	""	-80	38	"0"	"Ch 11 [2.462 GHz]"	""	"0 Stations, 13% Channel Utilization"	"WLAN [Intel(R) Wi-Fi 6 AX200 160MHz]"
2023/12/8 17:51:09	1C:28:AF:5B:E9:72	"Aruba, a Hewlett Packard Enterprise Company"	"TUD-facility"	""	""	-81	35	"0"	"Ch 132 [5.660 GHz]"	""	"0 Stations, 4% Channel Utilization"	"WLAN [Intel(R) Wi-Fi 6 AX200 160MHz]"
2023/12/8 17:51:09	1C:28:AF:66:5A:02	"Aruba, a Hewlett Packard Enterprise Company"	"TUD-facility"	""	""	-67	75	"0"	"Ch 1 [2.412 GHz]"	""	"0 Stations, 11% Channel Utilization"	"WLAN [Intel(R) Wi-Fi 6 AX200 160MHz]"
2023/12/8 17:51:09	1C:28:AF:5B:ED:20	"Aruba, a Hewlett Packard Enterprise Company"	"eduroam"	""	""	-83	31	"0"	"Ch 11 [2.462 GHz]"	""	"0 Stations, 10% Channel Utilization"	"WLAN [Intel(R) Wi-Fi 6 AX200 160MHz]"
2023/12/8 17:51:09	1C:28:AF:66:5A:10	"Aruba, a Hewlett Packard Enterprise Company"	"eduroam"	""	""	-69	70	"0"	"Ch 104 [5.520 GHz]"	""	"0 Stations, 3% Channel Utilization"	"WLAN [Intel(R) Wi-Fi 6 AX200 160MHz]"
2023/12/8 17:51:09	D0:4D:C6:F2:B0:F2	"Aruba, a Hewlett Packard Enterprise Company"	"TUD-facility"	""	""	-77	46	"0"	"Ch 48 [5.240 GHz]"	""	"0 Stations, 13% Channel Utilization"	"WLAN [Intel(R) Wi-Fi 6 AX200 160MHz]"
2023/12/8 17:51:09	D0:4D:C6:F1:33:20	"Aruba, a Hewlett Packard Enterprise Company"	"eduroam"	""	""	-76	50	"0"	"Ch 6 [2.437 GHz]"	""	"0 Stations, 18% Channel Utilization"	"WLAN [Intel(R) Wi-Fi 6 AX200 160MHz]"
2023/12/8 17:51:09	D0:4D:C6:F2:AD:82	"Aruba, a Hewlett Packard Enterprise Company"	"TUD-facility"	""	""	-70	67	"0"	"Ch 1 [2.412 GHz]"	""	"0 Stations, 11% Channel Utilization"	"WLAN [Intel(R) Wi-Fi 6 AX200 160MHz]"
2023/12/8 17:51:09	D0:4D:C6:F2:9B:D2	"Aruba, a Hewlett Packard Enterprise Company"	"TUD-facility"	""	""	-86	24	"0"	"Ch 40 [5.200 GHz]"	""	"0 Stations, 5% Channel Utilization"	"WLAN [Intel(R) Wi-Fi 6 AX200 160MHz]"
2023/12/8 17:51:09	D0:4D:C6:F1:33:31	"Aruba, a Hewlett Packard Enterprise Company"	"tudelft-dastud"	""	""	-83	31	"0"	"Ch 104 [5.520 GHz]"	""	"0 Stations, 5% Channel Utilization"	"WLAN [Intel(R) Wi-Fi 6 AX200 160MHz]"
2023/12/8 17:51:09	1C:28:AF:5B:71:72	"Aruba, a Hewlett Packard Enterprise Company"	"TUD-facility"	""	""	-69	70	"0"	"Ch 40 [5.200 GHz]"	""	"0 Stations, 5% Channel Utilization"	"WLAN [Intel(R) Wi-Fi 6 AX200 160MHz]"
2023/12/8 17:51:09	D0:4D:C6:F2:B0:61	"Aruba, a Hewlett Packard Enterprise Company"	"tudelft-dastud"	""	""	-72	62	"0"	"Ch 6 [2.437 GHz]"	""	"0 Stations, 13% Channel Utilization"	"WLAN [Intel(R) Wi-Fi 6 AX200 160MHz]"
2023/12/8 17:51:09	D0:4D:C6:F2:81:B1	"Aruba, a Hewlett Packard Enterprise Company"	"tudelft-dastud"	""	""	-78	43	"0"	"Ch 36 [5.180 GHz]"	""	"0 Stations, 1% Channel Utilization"	"WLAN [Intel(R) Wi-Fi 6 AX200 160MHz]"
2023/12/8 17:51:09	1C:28:AF:5B:E9:61	"Aruba, a Hewlett Packard Enterprise Company"	"tudelft-dastud"	""	""	-86	24	"0"	"Ch 1 [2.412 GHz]"	""	"0 Stations, 14% Channel Utilization"	"WLAN [Intel(R) Wi-Fi 6 AX200 160MHz]"
2023/12/8 17:51:09	D0:4D:C6:F1:D2:01	"Aruba, a Hewlett Packard Enterprise Company"	"tudelft-dastud"	""	""	-80	38	"0"	"Ch 1 [2.412 GHz]"	""	"0 Stations, 14% Channel Utilization"	"WLAN [Intel(R) Wi-Fi 6 AX200 160MHz]"
2023/12/8 17:51:09	D0:4D:C6:F2:7E:40	"Aruba, a Hewlett Packard Enterprise Company"	"eduroam"	""	""	-79	40	"0"	"Ch 11 [2.462 GHz]"	""	"0 Stations, 6% Channel Utilization"	"WLAN [Intel(R) Wi-Fi 6 AX200 160MHz]"
2023/12/8 17:51:09	D0:4D:C6:F2:80:31	"Aruba, a Hewlett Packard Enterprise Company"	"tudelft-dastud"	""	""	-73	60	"1"	"Ch 136 [5.680 GHz]"	""	"1 Station, 48% Channel Utilization"	"WLAN [Intel(R) Wi-Fi 6 AX200 160MHz]"
2023/12/8 17:51:09	D0:4D:C6:F2:02:F0	"Aruba, a Hewlett Packard Enterprise Company"	"eduroam"	""	""	-87	22	"4"	"Ch 56 [5.280 GHz]"	""	"4 Stations, 3% Channel Utilization"	"WLAN [Intel(R) Wi-Fi 6 AX200 160MHz]"
2023/12/8 17:51:09	D0:4D:C6:F2:81:A1	"Aruba, a Hewlett Packard Enterprise Company"	"tudelft-dastud"	""	""	-83	31	"0"	"Ch 11 [2.462 GHz]"	""	"0 Stations, 9% Channel Utilization"	"WLAN [Intel(R) Wi-Fi 6 AX200 160MHz]"
2023/12/8 17:51:09	D0:4D:C6:F2:F0:F2	"Aruba, a Hewlett Packard Enterprise Company"	"TUD-facility"	""	""	-86	24	"0"	"Ch 104 [5.520 GHz]"	""	"0 Stations, 3% Channel Utilization"	"WLAN [Intel(R) Wi-Fi 6 AX200 160MHz]"
2023/12/8 17:51:09	D0:4D:C6:F2:9B:C2	"Aruba, a Hewlett Packard Enterprise Company"	"TUD-facility"	""	""	-80	38	"0"	"Ch 11 [2.462 GHz]"	""	"0 Stations, 13% Channel Utilization"	"WLAN [Intel(R) Wi-Fi 6 AX200 160MHz]"
2023/12/8 17:51:09	1C:28:AF:66:5A:01	"Aruba, a Hewlett Packard Enterprise Company"	"tudelft-dastud"	""	""	-67	75	"0"	"Ch 1 [2.412 GHz]"	""	"0 Stations, 11% Channel Utilization"	"WLAN [Intel(R) Wi-Fi 6 AX200 160MHz]"
2023/12/8 17:51:09	1C:28:AF:66:5A:11	"Aruba, a Hewlett Packard Enterprise Company"	"tudelft-dastud"	""	""	-69	70	"0"	"Ch 104 [5.520 GHz]"	""	"0 Stations, 3% Channel Utilization"	"WLAN [Intel(R) Wi-Fi 6 AX200 160MHz]"
2023/12/8 17:51:09	D0:4D:C6:F1:D2:00	"Aruba, a Hewlett Packard Enterprise Company"	"eduroam"	""	""	-77	46	"0"	"Ch 1 [2.412 GHz]"	""	"0 Stations, 9% Channel Utilization"	"WLAN [Intel(R) Wi-Fi 6 AX200 160MHz]"
2023/12/8 17:51:09	1C:28:AF:66:08:22	"Aruba, a Hewlett Packard Enterprise Company"	"TUD-facility"	""	""	-67	75	"0"	"Ch 1 [2.412 GHz]"	""	"0 Stations, 10% Channel Utilization"	"WLAN [Intel(R) Wi-Fi 6 AX200 160MHz]"
2023/12/8 17:51:09	1C:28:AF:5B:ED:22	"Aruba, a Hewlett Packard Enterprise Company"	"TUD-facility"	""	""	-84	29	"0"	"Ch 11 [2.462 GHz]"	""	"0 Stations, 10% Channel Utilization"	"WLAN [Intel(R) Wi-Fi 6 AX200 160MHz]"
2023/12/8 17:51:09	D0:4D:C6:F2:80:22	"Aruba, a Hewlett Packard Enterprise Company"	"TUD-facility"	""	""	-69	70	"0"	"Ch 1 [2.412 GHz]"	""	"0 Stations, 10% Channel Utilization"	"WLAN [Intel(R) Wi-Fi 6 AX200 160MHz]"
2023/12/8 17:51:09	D0:4D:C6:F1:33:21	"Aruba, a Hewlett Packard Enterprise Company"	"tudelft-dastud"	""	""	-75	53	"0"	"Ch 6 [2.437 GHz]"	""	"0 Stations, 20% Channel Utilization"	"WLAN [Intel(R) Wi-Fi 6 AX200 160MHz]"
2023/12/8 17:51:09	1C:28:AF:62:35:E2	"Aruba, a Hewlett Packard Enterprise Company"	"TUD-facility"	""	""	-86	24	"0"	"Ch 1 [2.412 GHz]"	""	"0 Stations, 9% Channel Utilization"	"WLAN [Intel(R) Wi-Fi 6 AX200 160MHz]"
2023/12/8 17:51:09	D0:4D:C6:F2:80:20	"Aruba, a Hewlett Packard Enterprise Company"	"eduroam"	""	""	-69	70	"1"	"Ch 1 [2.412 GHz]"	""	"1 Station, 10% Channel Utilization"	"WLAN [Intel(R) Wi-Fi 6 AX200 160MHz]"
2023/12/8 17:51:09	1C:28:AF:62:35:E0	"Aruba, a Hewlett Packard Enterprise Company"	"eduroam"	""	""	-84	29	"1"	"Ch 1 [2.412 GHz]"	""	"1 Station, 12% Channel Utilization"	"WLAN [Intel(R) Wi-Fi 6 AX200 160MHz]"
2023/12/8 17:51:09	D0:4D:C6:F2:AD:80	"Aruba, a Hewlett Packard Enterprise Company"	"eduroam"	""	""	-70	67	"0"	"Ch 1 [2.412 GHz]"	""	"0 Stations, 11% Channel Utilization"	"WLAN [Intel(R) Wi-Fi 6 AX200 160MHz]"
2023/12/8 17:51:09	D0:4D:C6:F2:F0:E1	"Aruba, a Hewlett Packard Enterprise Company"	"tudelft-dastud"	""	""	-72	62	"0"	"Ch 6 [2.437 GHz]"	""	"0 Stations, 12% Channel Utilization"	"WLAN [Intel(R) Wi-Fi 6 AX200 160MHz]"
2023/12/8 17:51:09	1C:28:AF:66:08:21	"Aruba, a Hewlett Packard Enterprise Company"	"tudelft-dastud"	""	""	-68	72	"0"	"Ch 1 [2.412 GHz]"	""	"0 Stations, 10% Channel Utilization"	"WLAN [Intel(R) Wi-Fi 6 AX200 160MHz]"
2023/12/8 17:51:09	D0:4D:C6:F2:F0:F1	"Aruba, a Hewlett Packard Enterprise Company"	"tudelft-dastud"	""	""	-87	22	"0"	"Ch 104 [5.520 GHz]"	""	"0 Stations, 3% Channel Utilization"	"WLAN [Intel(R) Wi-Fi 6 AX200 160MHz]"
2023/12/8 17:51:09	D0:4D:C6:F2:6F:71	"Aruba, a Hewlett Packard Enterprise Company"	"tudelft-dastud"	""	""	-84	29	"0"	"Ch 60 [5.300 GHz]"	""	"0 Stations, 3% Channel Utilization"	"WLAN [Intel(R) Wi-Fi 6 AX200 160MHz]"
2023/12/8 17:51:09	1C:28:AF:5B:ED:21	"Aruba, a Hewlett Packard Enterprise Company"	"tudelft-dastud"	""	""	-82	33	"0"	"Ch 11 [2.462 GHz]"	""	"0 Stations, 10% Channel Utilization"	"WLAN [Intel(R) Wi-Fi 6 AX200 160MHz]"
2023/12/8 17:51:09	D0:4D:C6:F2:81:B2	"Aruba, a Hewlett Packard Enterprise Company"	"TUD-facility"	""	""	-79	40	"0"	"Ch 36 [5.180 GHz]"	""	"0 Stations, 1% Channel Utilization"	"WLAN [Intel(R) Wi-Fi 6 AX200 160MHz]"
