11/12/2023 12:51:23	"MAC Address"	"Vendor"	"SSID"	"Access Point Name"	"Connected AP"	"Signal Strength"	"Quality"	"Station Count"	"Frequency"	"Position"	"Info"	"Adapter"
11/12/2023 12:51:26	D0:4D:C6:F2:FC:D2	"Aruba, a Hewlett Packard Enterprise Company"	"TUD-facility"	""	""	-69	70	"0"	"Ch 40 [5.200 GHz]"	""	"0 Stations, 5% Channel Utilization"	"WiFi [Intel(R) Wi-Fi 6E AX211 160MHz]"
11/12/2023 12:51:26	D0:4D:C6:F3:0D:42	"Aruba, a Hewlett Packard Enterprise Company"	"TUD-facility"	""	""	-67	75	"0"	"Ch 11 [2.462 GHz]"	""	"0 Stations, 20% Channel Utilization"	"WiFi [Intel(R) Wi-Fi 6E AX211 160MHz]"
11/12/2023 12:51:26	D0:4D:C6:F2:F4:A0	"Aruba, a Hewlett Packard Enterprise Company"	"eduroam"	""	""	-86	24	"4"	"Ch 6 [2.437 GHz]"	""	"4 Stations, 14% Channel Utilization"	"WiFi [Intel(R) Wi-Fi 6E AX211 160MHz]"
11/12/2023 12:51:26	1C:28:AF:5B:2F:61	"Aruba, a Hewlett Packard Enterprise Company"	"tudelft-dastud"	""	""	-55	85	"1"	"Ch 6 [2.437 GHz]"	""	"1 Station, 14% Channel Utilization"	"WiFi [Intel(R) Wi-Fi 6E AX211 160MHz]"
11/12/2023 12:51:26	D0:4D:C6:F2:98:D0	"Aruba, a Hewlett Packard Enterprise Company"	"eduroam"	""	""	-86	24	"8"	"Ch 108 [5.540 GHz]"	""	"8 Stations, 20% Channel Utilization"	"WiFi [Intel(R) Wi-Fi 6E AX211 160MHz]"
11/12/2023 12:51:26	D0:4D:C6:F2:D4:D2	"Aruba, a Hewlett Packard Enterprise Company"	"TUD-facility"	""	""	-88	20	"0"	"Ch 100 [5.500 GHz]"	""	"0 Stations, 1% Channel Utilization"	"WiFi [Intel(R) Wi-Fi 6E AX211 160MHz]"
11/12/2023 12:51:26	D0:4D:C6:F2:D1:51	"Aruba, a Hewlett Packard Enterprise Company"	"tudelft-dastud"	""	""	-76	50	"0"	"Ch 56 [5.280 GHz]"	""	"0 Stations, 4% Channel Utilization"	"WiFi [Intel(R) Wi-Fi 6E AX211 160MHz]"
11/12/2023 12:51:26	D0:4D:C6:F3:0D:41	"Aruba, a Hewlett Packard Enterprise Company"	"tudelft-dastud"	""	""	-67	75	"0"	"Ch 11 [2.462 GHz]"	""	"0 Stations, 20% Channel Utilization"	"WiFi [Intel(R) Wi-Fi 6E AX211 160MHz]"
11/12/2023 12:51:26	1C:28:AF:5C:0C:61	"Aruba, a Hewlett Packard Enterprise Company"	"tudelft-dastud"	""	""	-84	29	"0"	"Ch 1 [2.412 GHz]"	""	"0 Stations, 9% Channel Utilization"	"WiFi [Intel(R) Wi-Fi 6E AX211 160MHz]"
11/12/2023 12:51:26	D0:4D:C6:F2:FC:D1	"Aruba, a Hewlett Packard Enterprise Company"	"tudelft-dastud"	""	""	-69	70	"0"	"Ch 40 [5.200 GHz]"	""	"0 Stations, 5% Channel Utilization"	"WiFi [Intel(R) Wi-Fi 6E AX211 160MHz]"
11/12/2023 12:51:26	D0:4D:C6:F2:F4:B1	"Aruba, a Hewlett Packard Enterprise Company"	"tudelft-dastud"	""	""	-80	38	"0"	"Ch 60 [5.300 GHz]"	""	"0 Stations, 4% Channel Utilization"	"WiFi [Intel(R) Wi-Fi 6E AX211 160MHz]"
11/12/2023 12:51:26	D0:4D:C6:F2:D4:C1	"Aruba, a Hewlett Packard Enterprise Company"	"tudelft-dastud"	""	""	-85	26	"0"	"Ch 6 [2.437 GHz]"	""	"0 Stations, 11% Channel Utilization"	"WiFi [Intel(R) Wi-Fi 6E AX211 160MHz]"
11/12/2023 12:51:26	D0:4D:C6:F2:FC:D0	"Aruba, a Hewlett Packard Enterprise Company"	"eduroam"	""	""	-69	70	"9"	"Ch 40 [5.200 GHz]"	""	"9 Stations, 5% Channel Utilization"	"WiFi [Intel(R) Wi-Fi 6E AX211 160MHz]"
11/12/2023 12:51:26	1C:28:AF:5C:0C:62	"Aruba, a Hewlett Packard Enterprise Company"	"TUD-facility"	""	""	-83	31	"0"	"Ch 1 [2.412 GHz]"	""	"0 Stations, 8% Channel Utilization"	"WiFi [Intel(R) Wi-Fi 6E AX211 160MHz]"
11/12/2023 12:51:26	D0:4D:C6:F2:C8:A1	"Aruba, a Hewlett Packard Enterprise Company"	"tudelft-dastud"	""	""	-60	82	"0"	"Ch 11 [2.462 GHz]"	""	"0 Stations, 10% Channel Utilization"	"WiFi [Intel(R) Wi-Fi 6E AX211 160MHz]"
11/12/2023 12:51:26	1C:28:AF:5B:29:D0	"Aruba, a Hewlett Packard Enterprise Company"	"eduroam"	""	""	-58	83	"4"	"Ch 64 [5.320 GHz]"	""	"4 Stations, 2% Channel Utilization"	"WiFi [Intel(R) Wi-Fi 6E AX211 160MHz]"
11/12/2023 12:51:26	D0:4D:C6:F2:D4:D0	"Aruba, a Hewlett Packard Enterprise Company"	"eduroam"	""	""	-87	22	"13"	"Ch 100 [5.500 GHz]"	""	"13 Stations, 1% Channel Utilization"	"WiFi [Intel(R) Wi-Fi 6E AX211 160MHz]"
11/12/2023 12:51:26	D0:4D:C6:F2:FC:C1	"Aruba, a Hewlett Packard Enterprise Company"	"tudelft-dastud"	""	""	-62	81	"0"	"Ch 11 [2.462 GHz]"	""	"0 Stations, 14% Channel Utilization"	"WiFi [Intel(R) Wi-Fi 6E AX211 160MHz]"
11/12/2023 12:51:26	D0:4D:C6:F2:D1:52	"Aruba, a Hewlett Packard Enterprise Company"	"TUD-facility"	""	""	-76	50	"0"	"Ch 56 [5.280 GHz]"	""	"0 Stations, 4% Channel Utilization"	"WiFi [Intel(R) Wi-Fi 6E AX211 160MHz]"
11/12/2023 12:51:26	D0:4D:C6:F2:C8:B1	"Aruba, a Hewlett Packard Enterprise Company"	"tudelft-dastud"	""	""	-66	78	"0"	"Ch 60 [5.300 GHz]"	""	"0 Stations, 5% Channel Utilization"	"WiFi [Intel(R) Wi-Fi 6E AX211 160MHz]"
