2023/12/15 17:20:08	"MAC Address"	"Vendor"	"SSID"	"Access Point Name"	"Connected AP"	"Signal Strength"	"Quality"	"Station Count"	"Frequency"	"Position"	"Info"	"Adapter"
2023/12/15 17:20:13	1C:28:AF:65:FE:10	"Aruba, a Hewlett Packard Enterprise Company"	"eduroam"	""	""	-96	0	"0"	"Ch 140 [5.700 GHz]"	""	"0 Stations, 1% Channel Utilization"	"WLAN 2 [MediaTek Wi-Fi 6 MT7921 Wireless LAN Card]"
2023/12/15 17:20:13	1C:28:AF:65:E9:50	"Aruba, a Hewlett Packard Enterprise Company"	"eduroam"	""	""	-96	0	"4"	"Ch 161 [5.805 GHz]"	""	"4 Stations, 1% Channel Utilization"	"WLAN 2 [MediaTek Wi-Fi 6 MT7921 Wireless LAN Card]"
2023/12/15 17:20:13	1C:28:AF:66:50:10	"Aruba, a Hewlett Packard Enterprise Company"	"eduroam"	""	""	-96	0	"2"	"Ch 56 [5.280 GHz]"	""	"2 Stations, 3% Channel Utilization"	"WLAN 2 [MediaTek Wi-Fi 6 MT7921 Wireless LAN Card]"
2023/12/15 17:20:13	1C:28:AF:5B:E5:50	"Aruba, a Hewlett Packard Enterprise Company"	"eduroam"	""	""	-95	0	"3"	"Ch 44 [5.220 GHz]"	""	"3 Stations, 17% Channel Utilization"	"WLAN 2 [MediaTek Wi-Fi 6 MT7921 Wireless LAN Card]"
2023/12/15 17:20:13	1C:28:AF:5C:01:10	"Aruba, a Hewlett Packard Enterprise Company"	"eduroam"	""	""	-93	6	"24"	"Ch 44 [5.220 GHz]"	""	"24 Stations, 14% Channel Utilization"	"WLAN 2 [MediaTek Wi-Fi 6 MT7921 Wireless LAN Card]"
2023/12/15 17:20:13	1C:28:AF:66:4C:D0	"Aruba, a Hewlett Packard Enterprise Company"	"eduroam"	""	""	-93	6	"1"	"Ch 165 [5.825 GHz]"	""	"1 Station, 2% Channel Utilization"	"WLAN 2 [MediaTek Wi-Fi 6 MT7921 Wireless LAN Card]"
2023/12/15 17:20:13	1C:28:AF:66:2A:B0	"Aruba, a Hewlett Packard Enterprise Company"	"eduroam"	""	""	-92	9	"0"	"Ch 149 [5.745 GHz]"	""	"0 Stations, 2% Channel Utilization"	"WLAN 2 [MediaTek Wi-Fi 6 MT7921 Wireless LAN Card]"
2023/12/15 17:20:13	D0:4D:C6:F2:FF:D0	"Aruba, a Hewlett Packard Enterprise Company"	"eduroam"	""	""	-92	9	"18"	"Ch 36 [5.180 GHz]"	""	"18 Stations, 5% Channel Utilization"	"WLAN 2 [MediaTek Wi-Fi 6 MT7921 Wireless LAN Card]"
2023/12/15 17:20:13	D0:4D:C6:F2:CE:B0	"Aruba, a Hewlett Packard Enterprise Company"	"eduroam"	""	""	-90	15	"5"	"Ch 64 [5.320 GHz]"	""	"5 Stations, 1% Channel Utilization"	"WLAN 2 [MediaTek Wi-Fi 6 MT7921 Wireless LAN Card]"
2023/12/15 17:20:13	D0:4D:C6:F2:9D:E0	"Aruba, a Hewlett Packard Enterprise Company"	"eduroam"	""	""	-89	18	"0"	"Ch 11 [2.462 GHz]"	""	"0 Stations, 18% Channel Utilization"	"WLAN 2 [MediaTek Wi-Fi 6 MT7921 Wireless LAN Card]"
2023/12/15 17:20:13	1C:28:AF:66:28:00	"Aruba, a Hewlett Packard Enterprise Company"	"eduroam"	""	""	-89	18	"1"	"Ch 11 [2.462 GHz]"	""	"1 Station, 10% Channel Utilization"	"WLAN 2 [MediaTek Wi-Fi 6 MT7921 Wireless LAN Card]"
2023/12/15 17:20:13	1C:28:AF:65:F5:C0	"Aruba, a Hewlett Packard Enterprise Company"	"eduroam"	""	""	-89	18	"0"	"Ch 1 [2.412 GHz]"	""	"0 Stations, 14% Channel Utilization"	"WLAN 2 [MediaTek Wi-Fi 6 MT7921 Wireless LAN Card]"
2023/12/15 17:20:13	1C:28:AF:66:28:10	"Aruba, a Hewlett Packard Enterprise Company"	"eduroam"	""	""	-88	21	"4"	"Ch 153 [5.765 GHz]"	""	"4 Stations, 2% Channel Utilization"	"WLAN 2 [MediaTek Wi-Fi 6 MT7921 Wireless LAN Card]"
2023/12/15 17:20:13	D0:4D:C6:F2:F2:80	"Aruba, a Hewlett Packard Enterprise Company"	"eduroam"	""	""	-87	24	"1"	"Ch 6 [2.437 GHz]"	""	"1 Station, 30% Channel Utilization"	"WLAN 2 [MediaTek Wi-Fi 6 MT7921 Wireless LAN Card]"
2023/12/15 17:20:13	1C:28:AF:5B:E5:40	"Aruba, a Hewlett Packard Enterprise Company"	"eduroam"	""	""	-87	24	"1"	"Ch 11 [2.462 GHz]"	""	"1 Station, 15% Channel Utilization"	"WLAN 2 [MediaTek Wi-Fi 6 MT7921 Wireless LAN Card]"
2023/12/15 17:20:13	D0:4D:C6:F2:71:00	"Aruba, a Hewlett Packard Enterprise Company"	"eduroam"	""	""	-85	30	"0"	"Ch 1 [2.412 GHz]"	""	"0 Stations, 12% Channel Utilization"	"WLAN 2 [MediaTek Wi-Fi 6 MT7921 Wireless LAN Card]"
2023/12/15 17:20:13	1C:28:AF:66:2A:A0	"Aruba, a Hewlett Packard Enterprise Company"	"eduroam"	""	""	-85	30	"3"	"Ch 11 [2.462 GHz]"	""	"3 Stations, 8% Channel Utilization"	"WLAN 2 [MediaTek Wi-Fi 6 MT7921 Wireless LAN Card]"
2023/12/15 17:20:13	1C:28:AF:66:11:C0	"Aruba, a Hewlett Packard Enterprise Company"	"eduroam"	""	""	-83	36	"0"	"Ch 1 [2.412 GHz]"	""	"0 Stations, 12% Channel Utilization"	"WLAN 2 [MediaTek Wi-Fi 6 MT7921 Wireless LAN Card]"
2023/12/15 17:20:13	1C:28:AF:5C:01:00	"Aruba, a Hewlett Packard Enterprise Company"	"eduroam"	""	""	-81	42	"0"	"Ch 1 [2.412 GHz]"	""	"0 Stations, 27% Channel Utilization"	"WLAN 2 [MediaTek Wi-Fi 6 MT7921 Wireless LAN Card]"
2023/12/15 17:20:13	1C:28:AF:66:50:00	"Aruba, a Hewlett Packard Enterprise Company"	"eduroam"	""	""	-81	42	"0"	"Ch 1 [2.412 GHz]"	""	"0 Stations, 15% Channel Utilization"	"WLAN 2 [MediaTek Wi-Fi 6 MT7921 Wireless LAN Card]"
2023/12/15 17:20:13	1C:28:AF:65:E9:40	"Aruba, a Hewlett Packard Enterprise Company"	"eduroam"	""	""	-80	45	"3"	"Ch 1 [2.412 GHz]"	""	"3 Stations, 14% Channel Utilization"	"WLAN 2 [MediaTek Wi-Fi 6 MT7921 Wireless LAN Card]"
2023/12/15 17:20:13	D0:4D:C6:F2:CE:A0	"Aruba, a Hewlett Packard Enterprise Company"	"eduroam"	""	""	-79	48	"0"	"Ch 1 [2.412 GHz]"	""	"0 Stations, 20% Channel Utilization"	"WLAN 2 [MediaTek Wi-Fi 6 MT7921 Wireless LAN Card]"
2023/12/15 17:20:13	D0:4D:C6:F2:C5:D0	"Aruba, a Hewlett Packard Enterprise Company"	"eduroam"	""	""	-79	48	"2"	"Ch 108 [5.540 GHz]"	""	"2 Stations, 6% Channel Utilization"	"WLAN 2 [MediaTek Wi-Fi 6 MT7921 Wireless LAN Card]"
2023/12/15 17:20:13	1C:28:AF:62:01:D0	"Aruba, a Hewlett Packard Enterprise Company"	"eduroam"	""	""	-79	48	"5"	"Ch 36 [5.180 GHz]"	""	"5 Stations, 7% Channel Utilization"	"WLAN 2 [MediaTek Wi-Fi 6 MT7921 Wireless LAN Card]"
2023/12/15 17:20:13	1C:28:AF:62:01:C0	"Aruba, a Hewlett Packard Enterprise Company"	"eduroam"	""	""	-78	51	"1"	"Ch 1 [2.412 GHz]"	""	"1 Station, 16% Channel Utilization"	"WLAN 2 [MediaTek Wi-Fi 6 MT7921 Wireless LAN Card]"
2023/12/15 17:20:13	D0:4D:C6:F2:71:10	"Aruba, a Hewlett Packard Enterprise Company"	"eduroam"	""	""	-78	51	"9"	"Ch 36 [5.180 GHz]"	""	"9 Stations, 6% Channel Utilization"	"WLAN 2 [MediaTek Wi-Fi 6 MT7921 Wireless LAN Card]"
2023/12/15 17:20:13	1C:28:AF:66:4C:C0	"Aruba, a Hewlett Packard Enterprise Company"	"eduroam"	""	""	-76	57	"2"	"Ch 1 [2.412 GHz]"	""	"2 Stations, 14% Channel Utilization"	"WLAN 2 [MediaTek Wi-Fi 6 MT7921 Wireless LAN Card]"
2023/12/15 17:20:13	D0:4D:C6:F2:C5:C0	"Aruba, a Hewlett Packard Enterprise Company"	"eduroam"	""	""	-76	57	"0"	"Ch 11 [2.462 GHz]"	""	"0 Stations, 22% Channel Utilization"	"WLAN 2 [MediaTek Wi-Fi 6 MT7921 Wireless LAN Card]"
2023/12/15 17:20:13	1C:28:AF:62:11:F0	"Aruba, a Hewlett Packard Enterprise Company"	"eduroam"	""	"连接接入点"	-73	66	"2"	"Ch 44 [5.220 GHz]"	""	"2 Stations, 5% Channel Utilization"	"WLAN 2 [MediaTek Wi-Fi 6 MT7921 Wireless LAN Card]"
2023/12/15 17:20:13	D0:4D:C6:F2:61:30	"Aruba, a Hewlett Packard Enterprise Company"	"eduroam"	""	""	-71	72	"3"	"Ch 136 [5.680 GHz]"	""	"3 Stations, 3% Channel Utilization"	"WLAN 2 [MediaTek Wi-Fi 6 MT7921 Wireless LAN Card]"
2023/12/15 17:20:13	D0:4D:C6:F2:61:20	"Aruba, a Hewlett Packard Enterprise Company"	"eduroam"	""	""	-71	72	"0"	"Ch 6 [2.437 GHz]"	""	"0 Stations, 17% Channel Utilization"	"WLAN 2 [MediaTek Wi-Fi 6 MT7921 Wireless LAN Card]"
2023/12/15 17:20:13	D0:4D:C6:F2:EC:90	"Aruba, a Hewlett Packard Enterprise Company"	"eduroam"	""	""	-68	77	"7"	"Ch 104 [5.520 GHz]"	""	"7 Stations, 4% Channel Utilization"	"WLAN 2 [MediaTek Wi-Fi 6 MT7921 Wireless LAN Card]"
2023/12/15 17:20:13	D0:4D:C6:F2:EC:80	"Aruba, a Hewlett Packard Enterprise Company"	"eduroam"	""	""	-68	77	"1"	"Ch 6 [2.437 GHz]"	""	"1 Station, 16% Channel Utilization"	"WLAN 2 [MediaTek Wi-Fi 6 MT7921 Wireless LAN Card]"
2023/12/15 17:20:13	1C:28:AF:5C:09:70	"Aruba, a Hewlett Packard Enterprise Company"	"eduroam"	""	""	-63	80	"16"	"Ch 52 [5.260 GHz]"	""	"16 Stations, 2% Channel Utilization"	"WLAN 2 [MediaTek Wi-Fi 6 MT7921 Wireless LAN Card]"
2023/12/15 17:20:13	1C:28:AF:5C:09:60	"Aruba, a Hewlett Packard Enterprise Company"	"eduroam"	""	""	-54	85	"0"	"Ch 1 [2.412 GHz]"	""	"0 Stations, 24% Channel Utilization"	"WLAN 2 [MediaTek Wi-Fi 6 MT7921 Wireless LAN Card]"
2023/12/15 17:20:13	1C:28:AF:66:11:D0	"Aruba, a Hewlett Packard Enterprise Company"	"eduroam"	""	""	-96	0	"1"	"Ch 157 [5.785 GHz]"	""	"1 Station, 1% Channel Utilization"	"WLAN 2 [MediaTek Wi-Fi 6 MT7921 Wireless LAN Card]"
2023/12/15 17:20:18	1C:28:AF:66:50:10	"Aruba, a Hewlett Packard Enterprise Company"	"eduroam"	""	""	-96	0	"2"	"Ch 56 [5.280 GHz]"	""	"2 Stations, 3% Channel Utilization"	"WLAN 2 [MediaTek Wi-Fi 6 MT7921 Wireless LAN Card]"
2023/12/15 17:20:18	1C:28:AF:65:FE:10	"Aruba, a Hewlett Packard Enterprise Company"	"eduroam"	""	""	-96	0	"0"	"Ch 140 [5.700 GHz]"	""	"0 Stations, 1% Channel Utilization"	"WLAN 2 [MediaTek Wi-Fi 6 MT7921 Wireless LAN Card]"
2023/12/15 17:20:18	1C:28:AF:5C:01:10	"Aruba, a Hewlett Packard Enterprise Company"	"eduroam"	""	""	-95	0	"24"	"Ch 44 [5.220 GHz]"	""	"24 Stations, 9% Channel Utilization"	"WLAN 2 [MediaTek Wi-Fi 6 MT7921 Wireless LAN Card]"
2023/12/15 17:20:18	1C:28:AF:66:4C:D0	"Aruba, a Hewlett Packard Enterprise Company"	"eduroam"	""	""	-94	3	"1"	"Ch 165 [5.825 GHz]"	""	"1 Station, 1% Channel Utilization"	"WLAN 2 [MediaTek Wi-Fi 6 MT7921 Wireless LAN Card]"
2023/12/15 17:20:18	1C:28:AF:5B:E5:50	"Aruba, a Hewlett Packard Enterprise Company"	"eduroam"	""	""	-92	9	"4"	"Ch 44 [5.220 GHz]"	""	"4 Stations, 11% Channel Utilization"	"WLAN 2 [MediaTek Wi-Fi 6 MT7921 Wireless LAN Card]"
2023/12/15 17:20:18	D0:4D:C6:F2:FF:D0	"Aruba, a Hewlett Packard Enterprise Company"	"eduroam"	""	""	-92	9	"18"	"Ch 36 [5.180 GHz]"	""	"18 Stations, 5% Channel Utilization"	"WLAN 2 [MediaTek Wi-Fi 6 MT7921 Wireless LAN Card]"
2023/12/15 17:20:18	1C:28:AF:66:28:10	"Aruba, a Hewlett Packard Enterprise Company"	"eduroam"	""	""	-92	9	"3"	"Ch 153 [5.765 GHz]"	""	"3 Stations, 1% Channel Utilization"	"WLAN 2 [MediaTek Wi-Fi 6 MT7921 Wireless LAN Card]"
2023/12/15 17:20:18	1C:28:AF:66:2A:B0	"Aruba, a Hewlett Packard Enterprise Company"	"eduroam"	""	""	-92	9	"0"	"Ch 149 [5.745 GHz]"	""	"0 Stations, 4% Channel Utilization"	"WLAN 2 [MediaTek Wi-Fi 6 MT7921 Wireless LAN Card]"
2023/12/15 17:20:18	D0:4D:C6:F2:CE:B0	"Aruba, a Hewlett Packard Enterprise Company"	"eduroam"	""	""	-90	15	"5"	"Ch 64 [5.320 GHz]"	""	"5 Stations, 3% Channel Utilization"	"WLAN 2 [MediaTek Wi-Fi 6 MT7921 Wireless LAN Card]"
2023/12/15 17:20:18	D0:4D:C6:F2:9D:E0	"Aruba, a Hewlett Packard Enterprise Company"	"eduroam"	""	""	-89	18	"0"	"Ch 11 [2.462 GHz]"	""	"0 Stations, 18% Channel Utilization"	"WLAN 2 [MediaTek Wi-Fi 6 MT7921 Wireless LAN Card]"
2023/12/15 17:20:18	1C:28:AF:65:F5:C0	"Aruba, a Hewlett Packard Enterprise Company"	"eduroam"	""	""	-89	18	"0"	"Ch 1 [2.412 GHz]"	""	"0 Stations, 14% Channel Utilization"	"WLAN 2 [MediaTek Wi-Fi 6 MT7921 Wireless LAN Card]"
2023/12/15 17:20:18	1C:28:AF:5B:E5:40	"Aruba, a Hewlett Packard Enterprise Company"	"eduroam"	""	""	-87	24	"1"	"Ch 11 [2.462 GHz]"	""	"1 Station, 15% Channel Utilization"	"WLAN 2 [MediaTek Wi-Fi 6 MT7921 Wireless LAN Card]"
2023/12/15 17:20:18	D0:4D:C6:F2:F2:80	"Aruba, a Hewlett Packard Enterprise Company"	"eduroam"	""	""	-87	24	"1"	"Ch 6 [2.437 GHz]"	""	"1 Station, 30% Channel Utilization"	"WLAN 2 [MediaTek Wi-Fi 6 MT7921 Wireless LAN Card]"
2023/12/15 17:20:18	1C:28:AF:66:2A:A0	"Aruba, a Hewlett Packard Enterprise Company"	"eduroam"	""	""	-85	30	"3"	"Ch 11 [2.462 GHz]"	""	"3 Stations, 8% Channel Utilization"	"WLAN 2 [MediaTek Wi-Fi 6 MT7921 Wireless LAN Card]"
2023/12/15 17:20:18	D0:4D:C6:F2:71:00	"Aruba, a Hewlett Packard Enterprise Company"	"eduroam"	""	""	-85	30	"0"	"Ch 1 [2.412 GHz]"	""	"0 Stations, 12% Channel Utilization"	"WLAN 2 [MediaTek Wi-Fi 6 MT7921 Wireless LAN Card]"
2023/12/15 17:20:18	1C:28:AF:66:11:C0	"Aruba, a Hewlett Packard Enterprise Company"	"eduroam"	""	""	-83	36	"0"	"Ch 1 [2.412 GHz]"	""	"0 Stations, 12% Channel Utilization"	"WLAN 2 [MediaTek Wi-Fi 6 MT7921 Wireless LAN Card]"
2023/12/15 17:20:18	1C:28:AF:66:50:00	"Aruba, a Hewlett Packard Enterprise Company"	"eduroam"	""	""	-81	42	"0"	"Ch 1 [2.412 GHz]"	""	"0 Stations, 15% Channel Utilization"	"WLAN 2 [MediaTek Wi-Fi 6 MT7921 Wireless LAN Card]"
2023/12/15 17:20:18	1C:28:AF:5C:01:00	"Aruba, a Hewlett Packard Enterprise Company"	"eduroam"	""	""	-81	42	"0"	"Ch 1 [2.412 GHz]"	""	"0 Stations, 27% Channel Utilization"	"WLAN 2 [MediaTek Wi-Fi 6 MT7921 Wireless LAN Card]"
2023/12/15 17:20:18	D0:4D:C6:F2:C5:D0	"Aruba, a Hewlett Packard Enterprise Company"	"eduroam"	""	""	-81	42	"2"	"Ch 108 [5.540 GHz]"	""	"2 Stations, 5% Channel Utilization"	"WLAN 2 [MediaTek Wi-Fi 6 MT7921 Wireless LAN Card]"
2023/12/15 17:20:18	1C:28:AF:65:E9:40	"Aruba, a Hewlett Packard Enterprise Company"	"eduroam"	""	""	-80	45	"3"	"Ch 1 [2.412 GHz]"	""	"3 Stations, 10% Channel Utilization"	"WLAN 2 [MediaTek Wi-Fi 6 MT7921 Wireless LAN Card]"
2023/12/15 17:20:18	D0:4D:C6:F2:CE:A0	"Aruba, a Hewlett Packard Enterprise Company"	"eduroam"	""	""	-79	48	"0"	"Ch 1 [2.412 GHz]"	""	"0 Stations, 20% Channel Utilization"	"WLAN 2 [MediaTek Wi-Fi 6 MT7921 Wireless LAN Card]"
2023/12/15 17:20:18	1C:28:AF:62:01:D0	"Aruba, a Hewlett Packard Enterprise Company"	"eduroam"	""	""	-79	48	"5"	"Ch 36 [5.180 GHz]"	""	"5 Stations, 7% Channel Utilization"	"WLAN 2 [MediaTek Wi-Fi 6 MT7921 Wireless LAN Card]"
2023/12/15 17:20:18	1C:28:AF:62:01:C0	"Aruba, a Hewlett Packard Enterprise Company"	"eduroam"	""	""	-78	51	"1"	"Ch 1 [2.412 GHz]"	""	"1 Station, 16% Channel Utilization"	"WLAN 2 [MediaTek Wi-Fi 6 MT7921 Wireless LAN Card]"
2023/12/15 17:20:18	D0:4D:C6:F2:71:10	"Aruba, a Hewlett Packard Enterprise Company"	"eduroam"	""	""	-78	51	"11"	"Ch 36 [5.180 GHz]"	""	"11 Stations, 5% Channel Utilization"	"WLAN 2 [MediaTek Wi-Fi 6 MT7921 Wireless LAN Card]"
2023/12/15 17:20:18	1C:28:AF:66:28:00	"Aruba, a Hewlett Packard Enterprise Company"	"eduroam"	""	""	-77	54	"1"	"Ch 11 [2.462 GHz]"	""	"1 Station, 9% Channel Utilization"	"WLAN 2 [MediaTek Wi-Fi 6 MT7921 Wireless LAN Card]"
2023/12/15 17:20:18	D0:4D:C6:F2:C5:C0	"Aruba, a Hewlett Packard Enterprise Company"	"eduroam"	""	""	-76	57	"0"	"Ch 11 [2.462 GHz]"	""	"0 Stations, 19% Channel Utilization"	"WLAN 2 [MediaTek Wi-Fi 6 MT7921 Wireless LAN Card]"
2023/12/15 17:20:18	1C:28:AF:66:4C:C0	"Aruba, a Hewlett Packard Enterprise Company"	"eduroam"	""	""	-76	57	"2"	"Ch 1 [2.412 GHz]"	""	"2 Stations, 14% Channel Utilization"	"WLAN 2 [MediaTek Wi-Fi 6 MT7921 Wireless LAN Card]"
2023/12/15 17:20:18	D0:4D:C6:F2:FF:C0	"Aruba, a Hewlett Packard Enterprise Company"	"eduroam"	""	""	-73	66	"0"	"Ch 6 [2.437 GHz]"	""	"0 Stations, 20% Channel Utilization"	"WLAN 2 [MediaTek Wi-Fi 6 MT7921 Wireless LAN Card]"
2023/12/15 17:20:18	D0:4D:C6:F2:61:30	"Aruba, a Hewlett Packard Enterprise Company"	"eduroam"	""	""	-72	69	"3"	"Ch 136 [5.680 GHz]"	""	"3 Stations, 1% Channel Utilization"	"WLAN 2 [MediaTek Wi-Fi 6 MT7921 Wireless LAN Card]"
2023/12/15 17:20:18	D0:4D:C6:F2:61:20	"Aruba, a Hewlett Packard Enterprise Company"	"eduroam"	""	""	-71	72	"0"	"Ch 6 [2.437 GHz]"	""	"0 Stations, 18% Channel Utilization"	"WLAN 2 [MediaTek Wi-Fi 6 MT7921 Wireless LAN Card]"
2023/12/15 17:20:18	D0:4D:C6:F2:EC:90	"Aruba, a Hewlett Packard Enterprise Company"	"eduroam"	""	""	-70	75	"7"	"Ch 104 [5.520 GHz]"	""	"7 Stations, 4% Channel Utilization"	"WLAN 2 [MediaTek Wi-Fi 6 MT7921 Wireless LAN Card]"
2023/12/15 17:20:18	1C:28:AF:62:11:F0	"Aruba, a Hewlett Packard Enterprise Company"	"eduroam"	""	"连接接入点"	-69	76	"2"	"Ch 44 [5.220 GHz]"	""	"2 Stations, 5% Channel Utilization"	"WLAN 2 [MediaTek Wi-Fi 6 MT7921 Wireless LAN Card]"
2023/12/15 17:20:18	D0:4D:C6:F2:EC:80	"Aruba, a Hewlett Packard Enterprise Company"	"eduroam"	""	""	-65	79	"1"	"Ch 6 [2.437 GHz]"	""	"1 Station, 17% Channel Utilization"	"WLAN 2 [MediaTek Wi-Fi 6 MT7921 Wireless LAN Card]"
2023/12/15 17:20:18	1C:28:AF:5C:09:70	"Aruba, a Hewlett Packard Enterprise Company"	"eduroam"	""	""	-61	81	"16"	"Ch 52 [5.260 GHz]"	""	"16 Stations, 6% Channel Utilization"	"WLAN 2 [MediaTek Wi-Fi 6 MT7921 Wireless LAN Card]"
2023/12/15 17:20:18	1C:28:AF:5C:09:60	"Aruba, a Hewlett Packard Enterprise Company"	"eduroam"	""	""	-51	87	"0"	"Ch 1 [2.412 GHz]"	""	"0 Stations, 26% Channel Utilization"	"WLAN 2 [MediaTek Wi-Fi 6 MT7921 Wireless LAN Card]"
2023/12/15 17:20:18	1C:28:AF:66:11:D0	"Aruba, a Hewlett Packard Enterprise Company"	"eduroam"	""	""	-96	0	"1"	"Ch 157 [5.785 GHz]"	""	"1 Station, 1% Channel Utilization"	"WLAN 2 [MediaTek Wi-Fi 6 MT7921 Wireless LAN Card]"
2023/12/15 17:20:23	1C:28:AF:66:11:D0	"Aruba, a Hewlett Packard Enterprise Company"	"eduroam"	""	""	-96	0	"1"	"Ch 157 [5.785 GHz]"	""	"1 Station, 1% Channel Utilization"	"WLAN 2 [MediaTek Wi-Fi 6 MT7921 Wireless LAN Card]"
2023/12/15 17:20:23	1C:28:AF:65:FE:10	"Aruba, a Hewlett Packard Enterprise Company"	"eduroam"	""	""	-96	0	"0"	"Ch 140 [5.700 GHz]"	""	"0 Stations, 1% Channel Utilization"	"WLAN 2 [MediaTek Wi-Fi 6 MT7921 Wireless LAN Card]"
2023/12/15 17:20:23	1C:28:AF:66:50:10	"Aruba, a Hewlett Packard Enterprise Company"	"eduroam"	""	""	-96	0	"2"	"Ch 56 [5.280 GHz]"	""	"2 Stations, 3% Channel Utilization"	"WLAN 2 [MediaTek Wi-Fi 6 MT7921 Wireless LAN Card]"
2023/12/15 17:20:23	1C:28:AF:5C:01:10	"Aruba, a Hewlett Packard Enterprise Company"	"eduroam"	""	""	-95	0	"24"	"Ch 44 [5.220 GHz]"	""	"24 Stations, 9% Channel Utilization"	"WLAN 2 [MediaTek Wi-Fi 6 MT7921 Wireless LAN Card]"
2023/12/15 17:20:23	1C:28:AF:66:4C:D0	"Aruba, a Hewlett Packard Enterprise Company"	"eduroam"	""	""	-95	0	"1"	"Ch 165 [5.825 GHz]"	""	"1 Station, 0% Channel Utilization"	"WLAN 2 [MediaTek Wi-Fi 6 MT7921 Wireless LAN Card]"
2023/12/15 17:20:23	1C:28:AF:5B:E5:50	"Aruba, a Hewlett Packard Enterprise Company"	"eduroam"	""	""	-93	6	"4"	"Ch 44 [5.220 GHz]"	""	"4 Stations, 12% Channel Utilization"	"WLAN 2 [MediaTek Wi-Fi 6 MT7921 Wireless LAN Card]"
2023/12/15 17:20:23	D0:4D:C6:F2:FF:D0	"Aruba, a Hewlett Packard Enterprise Company"	"eduroam"	""	""	-92	9	"18"	"Ch 36 [5.180 GHz]"	""	"18 Stations, 5% Channel Utilization"	"WLAN 2 [MediaTek Wi-Fi 6 MT7921 Wireless LAN Card]"
2023/12/15 17:20:23	1C:28:AF:66:28:10	"Aruba, a Hewlett Packard Enterprise Company"	"eduroam"	""	""	-91	12	"3"	"Ch 153 [5.765 GHz]"	""	"3 Stations, 1% Channel Utilization"	"WLAN 2 [MediaTek Wi-Fi 6 MT7921 Wireless LAN Card]"
2023/12/15 17:20:23	D0:4D:C6:F2:CE:B0	"Aruba, a Hewlett Packard Enterprise Company"	"eduroam"	""	""	-90	15	"5"	"Ch 64 [5.320 GHz]"	""	"5 Stations, 3% Channel Utilization"	"WLAN 2 [MediaTek Wi-Fi 6 MT7921 Wireless LAN Card]"
2023/12/15 17:20:23	1C:28:AF:66:2A:B0	"Aruba, a Hewlett Packard Enterprise Company"	"eduroam"	""	""	-90	15	"0"	"Ch 149 [5.745 GHz]"	""	"0 Stations, 2% Channel Utilization"	"WLAN 2 [MediaTek Wi-Fi 6 MT7921 Wireless LAN Card]"
2023/12/15 17:20:23	1C:28:AF:65:F5:C0	"Aruba, a Hewlett Packard Enterprise Company"	"eduroam"	""	""	-89	18	"0"	"Ch 1 [2.412 GHz]"	""	"0 Stations, 14% Channel Utilization"	"WLAN 2 [MediaTek Wi-Fi 6 MT7921 Wireless LAN Card]"
