2023/12/8 17:31:56	"MAC Address"	"Vendor"	"SSID"	"Access Point Name"	"Connected AP"	"Signal Strength"	"Quality"	"Station Count"	"Frequency"	"Position"	"Info"	"Adapter"
2023/12/8 17:31:57	1C:28:AF:66:4A:E2	""	"TUD-facility"	""	""	-85	26	"0"	"Ch 11 [2.462 GHz]"	""	"0 Stations, 8% Channel Utilization"	"WLAN [Intel(R) Wi-Fi 6E AX211 160MHz]"
2023/12/8 17:31:57	1C:28:AF:66:4A:E1	""	"tudelft-dastud"	""	""	-84	29	"0"	"Ch 11 [2.462 GHz]"	""	"0 Stations, 8% Channel Utilization"	"WLAN [Intel(R) Wi-Fi 6E AX211 160MHz]"
2023/12/8 17:31:57	D0:4D:C6:F2:98:D2	""	"TUD-facility"	""	""	-81	35	"0"	"Ch 108 [5.540 GHz]"	""	"0 Stations, 4% Channel Utilization"	"WLAN [Intel(R) Wi-Fi 6E AX211 160MHz]"
2023/12/8 17:31:57	D0:4D:C6:F2:F4:A2	""	"TUD-facility"	""	""	-82	33	"0"	"Ch 6 [2.437 GHz]"	""	"0 Stations, 15% Channel Utilization"	"WLAN [Intel(R) Wi-Fi 6E AX211 160MHz]"
2023/12/8 17:31:57	D0:4D:C6:F2:F4:A1	""	"tudelft-dastud"	""	""	-83	31	"0"	"Ch 6 [2.437 GHz]"	""	"0 Stations, 15% Channel Utilization"	"WLAN [Intel(R) Wi-Fi 6E AX211 160MHz]"
2023/12/8 17:31:57	D0:4D:C6:F2:F4:A0	""	"eduroam"	""	""	-83	31	"2"	"Ch 6 [2.437 GHz]"	""	"2 Stations, 15% Channel Utilization"	"WLAN [Intel(R) Wi-Fi 6E AX211 160MHz]"
2023/12/8 17:31:57	1C:28:AF:66:6D:60	""	"eduroam"	""	""	-84	29	"0"	"Ch 6 [2.437 GHz]"	""	"0 Stations, 12% Channel Utilization"	"WLAN [Intel(R) Wi-Fi 6E AX211 160MHz]"
2023/12/8 17:31:57	D0:4D:C6:F2:98:D0	""	"eduroam"	""	""	-81	35	"4"	"Ch 108 [5.540 GHz]"	""	"4 Stations, 4% Channel Utilization"	"WLAN [Intel(R) Wi-Fi 6E AX211 160MHz]"
2023/12/8 17:31:57	D0:4D:C6:F2:FC:C1	""	"tudelft-dastud"	""	""	-60	82	"0"	"Ch 11 [2.462 GHz]"	""	"0 Stations, 13% Channel Utilization"	"WLAN [Intel(R) Wi-Fi 6E AX211 160MHz]"
2023/12/8 17:31:57	1C:28:AF:5B:2F:62	""	"TUD-facility"	""	""	-75	53	"0"	"Ch 6 [2.437 GHz]"	""	"0 Stations, 10% Channel Utilization"	"WLAN [Intel(R) Wi-Fi 6E AX211 160MHz]"
2023/12/8 17:31:57	1C:28:AF:5B:2F:61	""	"tudelft-dastud"	""	""	-81	35	"1"	"Ch 6 [2.437 GHz]"	""	"1 Station, 10% Channel Utilization"	"WLAN [Intel(R) Wi-Fi 6E AX211 160MHz]"
2023/12/8 17:31:57	1C:28:AF:5B:2F:60	""	"eduroam"	""	""	-74	57	"0"	"Ch 6 [2.437 GHz]"	""	"0 Stations, 10% Channel Utilization"	"WLAN [Intel(R) Wi-Fi 6E AX211 160MHz]"
2023/12/8 17:31:57	1C:28:AF:61:E3:A0	""	"eduroam"	""	""	-78	43	"0"	"Ch 6 [2.437 GHz]"	""	"0 Stations, 10% Channel Utilization"	"WLAN [Intel(R) Wi-Fi 6E AX211 160MHz]"
2023/12/8 17:31:57	1C:28:AF:5C:0C:61	""	"tudelft-dastud"	""	""	-83	31	"1"	"Ch 1 [2.412 GHz]"	""	"1 Station, 12% Channel Utilization"	"WLAN [Intel(R) Wi-Fi 6E AX211 160MHz]"
2023/12/8 17:31:57	1C:28:AF:62:B8:B2	""	"TUD-facility"	""	""	-90	16	"0"	"Ch 40 [5.200 GHz]"	""	"0 Stations, 1% Channel Utilization"	"WLAN [Intel(R) Wi-Fi 6E AX211 160MHz]"
2023/12/8 17:31:57	D0:4D:C6:F2:FC:D2	""	"TUD-facility"	""	""	-67	75	"0"	"Ch 40 [5.200 GHz]"	""	"0 Stations, 2% Channel Utilization"	"WLAN [Intel(R) Wi-Fi 6E AX211 160MHz]"
2023/12/8 17:31:57	D0:4D:C6:F2:FC:D1	""	"tudelft-dastud"	""	""	-68	72	"0"	"Ch 40 [5.200 GHz]"	""	"0 Stations, 2% Channel Utilization"	"WLAN [Intel(R) Wi-Fi 6E AX211 160MHz]"
2023/12/8 17:31:57	D0:4D:C6:F2:FC:D0	""	"eduroam"	""	""	-68	72	"2"	"Ch 40 [5.200 GHz]"	""	"2 Stations, 2% Channel Utilization"	"WLAN [Intel(R) Wi-Fi 6E AX211 160MHz]"
2023/12/8 17:31:57	D0:4D:C6:F3:0D:52	""	"TUD-facility"	""	""	-71	65	"0"	"Ch 44 [5.220 GHz]"	""	"0 Stations, 3% Channel Utilization"	"WLAN [Intel(R) Wi-Fi 6E AX211 160MHz]"
2023/12/8 17:31:57	D0:4D:C6:F3:0D:51	""	"tudelft-dastud"	""	""	-71	65	"0"	"Ch 44 [5.220 GHz]"	""	"0 Stations, 3% Channel Utilization"	"WLAN [Intel(R) Wi-Fi 6E AX211 160MHz]"
2023/12/8 17:31:57	D0:4D:C6:F3:0D:50	""	"eduroam"	""	""	-71	65	"8"	"Ch 44 [5.220 GHz]"	""	"8 Stations, 3% Channel Utilization"	"WLAN [Intel(R) Wi-Fi 6E AX211 160MHz]"
2023/12/8 17:31:57	1C:28:AF:5B:58:32	""	"TUD-facility"	""	""	-76	50	"0"	"Ch 48 [5.240 GHz]"	""	"0 Stations, 1% Channel Utilization"	"WLAN [Intel(R) Wi-Fi 6E AX211 160MHz]"
2023/12/8 17:31:57	1C:28:AF:5B:58:31	""	"tudelft-dastud"	""	""	-76	50	"0"	"Ch 48 [5.240 GHz]"	""	"0 Stations, 1% Channel Utilization"	"WLAN [Intel(R) Wi-Fi 6E AX211 160MHz]"
2023/12/8 17:31:57	1C:28:AF:5B:58:30	""	"eduroam"	""	""	-76	50	"1"	"Ch 48 [5.240 GHz]"	""	"1 Station, 1% Channel Utilization"	"WLAN [Intel(R) Wi-Fi 6E AX211 160MHz]"
2023/12/8 17:31:57	D0:4D:C6:F2:D1:52	""	"TUD-facility"	""	""	-75	53	"0"	"Ch 56 [5.280 GHz]"	""	"0 Stations, 3% Channel Utilization"	"WLAN [Intel(R) Wi-Fi 6E AX211 160MHz]"
2023/12/8 17:31:57	D0:4D:C6:F2:D1:51	""	"tudelft-dastud"	""	""	-75	53	"0"	"Ch 56 [5.280 GHz]"	""	"0 Stations, 3% Channel Utilization"	"WLAN [Intel(R) Wi-Fi 6E AX211 160MHz]"
2023/12/8 17:31:57	D0:4D:C6:F2:D1:50	""	"eduroam"	""	""	-75	53	"7"	"Ch 56 [5.280 GHz]"	""	"7 Stations, 3% Channel Utilization"	"WLAN [Intel(R) Wi-Fi 6E AX211 160MHz]"
2023/12/8 17:31:57	D0:4D:C6:F2:D4:D2	""	"TUD-facility"	""	""	-85	26	"0"	"Ch 100 [5.500 GHz]"	""	"0 Stations, 1% Channel Utilization"	"WLAN [Intel(R) Wi-Fi 6E AX211 160MHz]"
2023/12/8 17:31:57	D0:4D:C6:F2:D4:D1	""	"tudelft-dastud"	""	""	-84	29	"0"	"Ch 100 [5.500 GHz]"	""	"0 Stations, 1% Channel Utilization"	"WLAN [Intel(R) Wi-Fi 6E AX211 160MHz]"
2023/12/8 17:31:57	D0:4D:C6:F2:D4:D0	""	"eduroam"	""	""	-84	29	"5"	"Ch 100 [5.500 GHz]"	""	"5 Stations, 1% Channel Utilization"	"WLAN [Intel(R) Wi-Fi 6E AX211 160MHz]"
