2023/12/8 下午 01:33:43	"MAC Address"	"Vendor"	"SSID"	"Access Point Name"	"Connected AP"	"Signal Strength"	"Quality"	"Station Count"	"Frequency"	"Position"	"Info"	"Adapter"
2023/12/8 下午 01:33:47	1C:28:AF:65:D3:71	"Aruba, a Hewlett Packard Enterprise Company"	"tudelft-dastud"	""	""	-88	21	"0"	""	""	"0 Stations, 7% Channel Utilization"	"Wi-Fi [MediaTek Wi-Fi 6 MT7921 Wireless LAN Card]"
2023/12/8 下午 01:33:47	1C:28:AF:65:D3:72	"Aruba, a Hewlett Packard Enterprise Company"	"TUD-facility"	""	""	-87	24	"0"	""	""	"0 Stations, 7% Channel Utilization"	"Wi-Fi [MediaTek Wi-Fi 6 MT7921 Wireless LAN Card]"
2023/12/8 下午 01:33:47	D0:4D:C6:F2:B9:D0	"Aruba, a Hewlett Packard Enterprise Company"	"eduroam"	""	""	-87	24	"15"	""	""	"15 Stations, 3% Channel Utilization"	"Wi-Fi [MediaTek Wi-Fi 6 MT7921 Wireless LAN Card]"
2023/12/8 下午 01:33:47	1C:28:AF:5B:FA:32	"Aruba, a Hewlett Packard Enterprise Company"	"TUD-facility"	""	""	-87	24	"0"	"Ch 48 [5.240 GHz]"	""	"0 Stations, 5% Channel Utilization"	"Wi-Fi [MediaTek Wi-Fi 6 MT7921 Wireless LAN Card]"
2023/12/8 下午 01:33:47	D0:4D:C6:F2:B9:D1	"Aruba, a Hewlett Packard Enterprise Company"	"tudelft-dastud"	""	""	-87	24	"0"	""	""	"0 Stations, 3% Channel Utilization"	"Wi-Fi [MediaTek Wi-Fi 6 MT7921 Wireless LAN Card]"
2023/12/8 下午 01:33:47	1C:28:AF:5B:FA:31	"Aruba, a Hewlett Packard Enterprise Company"	"tudelft-dastud"	""	""	-87	24	"0"	"Ch 48 [5.240 GHz]"	""	"0 Stations, 5% Channel Utilization"	"Wi-Fi [MediaTek Wi-Fi 6 MT7921 Wireless LAN Card]"
2023/12/8 下午 01:33:47	D0:4D:C6:F2:B9:D2	"Aruba, a Hewlett Packard Enterprise Company"	"TUD-facility"	""	""	-87	24	"0"	""	""	"0 Stations, 3% Channel Utilization"	"Wi-Fi [MediaTek Wi-Fi 6 MT7921 Wireless LAN Card]"
2023/12/8 下午 01:33:47	1C:28:AF:5B:FA:30	"Aruba, a Hewlett Packard Enterprise Company"	"eduroam"	""	""	-87	24	"22"	"Ch 48 [5.240 GHz]"	""	"22 Stations, 5% Channel Utilization"	"Wi-Fi [MediaTek Wi-Fi 6 MT7921 Wireless LAN Card]"
2023/12/8 下午 01:33:47	D0:4D:C6:F3:09:D1	"Aruba, a Hewlett Packard Enterprise Company"	"tudelft-dastud"	""	""	-86	27	"0"	"Ch 48 [5.240 GHz]"	""	"0 Stations, 7% Channel Utilization"	"Wi-Fi [MediaTek Wi-Fi 6 MT7921 Wireless LAN Card]"
2023/12/8 下午 01:33:47	D0:4D:C6:F3:09:D2	"Aruba, a Hewlett Packard Enterprise Company"	"TUD-facility"	""	""	-85	30	"0"	"Ch 48 [5.240 GHz]"	""	"0 Stations, 6% Channel Utilization"	"Wi-Fi [MediaTek Wi-Fi 6 MT7921 Wireless LAN Card]"
2023/12/8 下午 01:33:47	1C:28:AF:5B:83:F2	"Aruba, a Hewlett Packard Enterprise Company"	"TUD-facility"	""	""	-83	36	"0"	""	""	"0 Stations, 7% Channel Utilization"	"Wi-Fi [MediaTek Wi-Fi 6 MT7921 Wireless LAN Card]"
