11-Dec-23 4:09:59 PM	"MAC Address"	"Vendor"	"SSID"	"Access Point Name"	"Connected AP"	"Signal Strength"	"Quality"	"Station Count"	"Frequency"	"Position"	"Info"	"Adapter"
11-Dec-23 4:10:00 PM	D0:4D:C6:F2:50:10	""	"eduroam"	""	""	-95	5	"16"	"Ch 36 [5.180 GHz]"	""	"16 Stations, 12% Channel Utilization"	"Wi-Fi [MediaTek Wi-Fi 6 MT7921 Wireless LAN Card]"
11-Dec-23 4:10:00 PM	D0:4D:C6:F2:ED:B1	""	"tudelft-dastud"	""	""	-92	9	"0"	"Ch 136 [5.680 GHz]"	""	"0 Stations, 15% Channel Utilization"	"Wi-Fi [MediaTek Wi-Fi 6 MT7921 Wireless LAN Card]"
11-Dec-23 4:10:00 PM	D0:4D:C6:F2:ED:B2	""	"TUD-facility"	""	""	-92	9	"0"	"Ch 136 [5.680 GHz]"	""	"0 Stations, 15% Channel Utilization"	"Wi-Fi [MediaTek Wi-Fi 6 MT7921 Wireless LAN Card]"
11-Dec-23 4:10:00 PM	D0:4D:C6:F2:C8:71	""	"tudelft-dastud"	""	""	-92	9	"0"	"Ch 48 [5.240 GHz]"	""	"0 Stations, 21% Channel Utilization"	"Wi-Fi [MediaTek Wi-Fi 6 MT7921 Wireless LAN Card]"
11-Dec-23 4:10:00 PM	D0:4D:C6:F2:ED:B0	""	"eduroam"	""	""	-92	9	"20"	"Ch 136 [5.680 GHz]"	""	"20 Stations, 15% Channel Utilization"	"Wi-Fi [MediaTek Wi-Fi 6 MT7921 Wireless LAN Card]"
11-Dec-23 4:10:00 PM	D0:4D:C6:F2:C8:72	""	"TUD-facility"	""	""	-92	9	"0"	"Ch 48 [5.240 GHz]"	""	"0 Stations, 21% Channel Utilization"	"Wi-Fi [MediaTek Wi-Fi 6 MT7921 Wireless LAN Card]"
11-Dec-23 4:10:00 PM	1C:28:AF:62:11:F2	""	"TUD-facility"	""	""	-92	9	"0"	"Ch 44 [5.220 GHz]"	""	"0 Stations, 6% Channel Utilization"	"Wi-Fi [MediaTek Wi-Fi 6 MT7921 Wireless LAN Card]"
11-Dec-23 4:10:00 PM	D0:4D:C6:F2:C8:70	""	"eduroam"	""	""	-92	9	"25"	"Ch 48 [5.240 GHz]"	""	"25 Stations, 22% Channel Utilization"	"Wi-Fi [MediaTek Wi-Fi 6 MT7921 Wireless LAN Card]"
11-Dec-23 4:10:00 PM	1C:28:AF:5C:43:E1	""	"tudelft-dastud"	""	""	-91	12	"0"	"Ch 11 [2.462 GHz]"	""	"0 Stations, 62% Channel Utilization"	"Wi-Fi [MediaTek Wi-Fi 6 MT7921 Wireless LAN Card]"
11-Dec-23 4:10:00 PM	1C:28:AF:62:11:F1	""	"tudelft-dastud"	""	""	-91	12	"0"	"Ch 44 [5.220 GHz]"	""	"0 Stations, 6% Channel Utilization"	"Wi-Fi [MediaTek Wi-Fi 6 MT7921 Wireless LAN Card]"
11-Dec-23 4:10:00 PM	1C:28:AF:61:E6:A2	""	"TUD-facility"	""	""	-89	18	"0"	"Ch 11 [2.462 GHz]"	""	"0 Stations, 44% Channel Utilization"	"Wi-Fi [MediaTek Wi-Fi 6 MT7921 Wireless LAN Card]"
11-Dec-23 4:10:00 PM	1C:28:AF:5C:43:E0	""	"eduroam"	""	""	-89	18	"0"	"Ch 11 [2.462 GHz]"	""	"0 Stations, 69% Channel Utilization"	"Wi-Fi [MediaTek Wi-Fi 6 MT7921 Wireless LAN Card]"
11-Dec-23 4:10:00 PM	CE:D1:9E:6E:C4:FD	""	"Galaxy A71C509"	""	""	-88	21	""	"Ch 6 [2.437 GHz]"	""	""	"Wi-Fi [MediaTek Wi-Fi 6 MT7921 Wireless LAN Card]"
11-Dec-23 4:10:00 PM	D0:4D:C6:F2:92:C1	""	"tudelft-dastud"	""	""	-88	21	"0"	"Ch 1 [2.412 GHz]"	""	"0 Stations, 66% Channel Utilization"	"Wi-Fi [MediaTek Wi-Fi 6 MT7921 Wireless LAN Card]"
11-Dec-23 4:10:00 PM	D0:4D:C6:F2:A9:81	""	"tudelft-dastud"	""	""	-87	24	"0"	"Ch 6 [2.437 GHz]"	""	"0 Stations, 19% Channel Utilization"	"Wi-Fi [MediaTek Wi-Fi 6 MT7921 Wireless LAN Card]"
11-Dec-23 4:10:00 PM	76:70:FD:8F:F5:48	""	"DIRECT-TADESKTOP-VUDFNA2QMUC"	"ZBOOKG5-BRAMTUR"	""	-87	24	""	"Ch 11 [2.462 GHz]"	""	"ZBOOKG5-BRAMTUR"	"Wi-Fi [MediaTek Wi-Fi 6 MT7921 Wireless LAN Card]"
11-Dec-23 4:10:00 PM	D0:4D:C6:F2:92:C0	""	"eduroam"	""	""	-86	27	"0"	"Ch 1 [2.412 GHz]"	""	"0 Stations, 66% Channel Utilization"	"Wi-Fi [MediaTek Wi-Fi 6 MT7921 Wireless LAN Card]"
11-Dec-23 4:10:00 PM	1C:28:AF:5C:09:70	""	"eduroam"	""	""	-85	30	"11"	"Ch 52 [5.260 GHz]"	""	"11 Stations, 5% Channel Utilization"	"Wi-Fi [MediaTek Wi-Fi 6 MT7921 Wireless LAN Card]"
11-Dec-23 4:10:00 PM	D0:4D:C6:F2:ED:A1	""	"tudelft-dastud"	""	""	-84	33	"0"	"Ch 6 [2.437 GHz]"	""	"0 Stations, 43% Channel Utilization"	"Wi-Fi [MediaTek Wi-Fi 6 MT7921 Wireless LAN Card]"
11-Dec-23 4:10:00 PM	1C:28:AF:65:FE:00	""	"eduroam"	""	""	-84	33	"1"	"Ch 6 [2.437 GHz]"	""	"1 Station, 22% Channel Utilization"	"Wi-Fi [MediaTek Wi-Fi 6 MT7921 Wireless LAN Card]"
11-Dec-23 4:10:00 PM	1C:28:AF:5C:09:72	""	"TUD-facility"	""	""	-84	33	"0"	"Ch 52 [5.260 GHz]"	""	"0 Stations, 5% Channel Utilization"	"Wi-Fi [MediaTek Wi-Fi 6 MT7921 Wireless LAN Card]"
11-Dec-23 4:10:00 PM	D0:4D:C6:F2:ED:A2	""	"TUD-facility"	""	""	-84	33	"0"	"Ch 6 [2.437 GHz]"	""	"0 Stations, 43% Channel Utilization"	"Wi-Fi [MediaTek Wi-Fi 6 MT7921 Wireless LAN Card]"
11-Dec-23 4:10:00 PM	1C:28:AF:5C:09:71	""	"tudelft-dastud"	""	""	-84	33	"0"	"Ch 52 [5.260 GHz]"	""	"0 Stations, 5% Channel Utilization"	"Wi-Fi [MediaTek Wi-Fi 6 MT7921 Wireless LAN Card]"
11-Dec-23 4:10:00 PM	D0:4D:C6:F2:4F:C2	""	"TUD-facility"	""	""	-84	33	"0"	"Ch 11 [2.462 GHz]"	""	"0 Stations, 55% Channel Utilization"	"Wi-Fi [MediaTek Wi-Fi 6 MT7921 Wireless LAN Card]"
11-Dec-23 4:10:00 PM	D0:4D:C6:F2:4F:C1	""	"tudelft-dastud"	""	""	-84	33	"0"	"Ch 11 [2.462 GHz]"	""	"0 Stations, 55% Channel Utilization"	"Wi-Fi [MediaTek Wi-Fi 6 MT7921 Wireless LAN Card]"
11-Dec-23 4:10:00 PM	D0:4D:C6:F2:DD:E2	""	"TUD-facility"	""	""	-83	36	"0"	"Ch 11 [2.462 GHz]"	""	"0 Stations, 52% Channel Utilization"	"Wi-Fi [MediaTek Wi-Fi 6 MT7921 Wireless LAN Card]"
11-Dec-23 4:10:00 PM	D0:4D:C6:F2:DD:E1	""	"tudelft-dastud"	""	""	-83	36	"0"	"Ch 11 [2.462 GHz]"	""	"0 Stations, 52% Channel Utilization"	"Wi-Fi [MediaTek Wi-Fi 6 MT7921 Wireless LAN Card]"
11-Dec-23 4:10:00 PM	D0:4D:C6:F2:92:C2	""	"TUD-facility"	""	""	-83	36	"0"	"Ch 1 [2.412 GHz]"	""	"0 Stations, 61% Channel Utilization"	"Wi-Fi [MediaTek Wi-Fi 6 MT7921 Wireless LAN Card]"
11-Dec-23 4:10:00 PM	1C:28:AF:65:FE:01	""	"tudelft-dastud"	""	""	-83	36	"0"	"Ch 6 [2.437 GHz]"	""	"0 Stations, 22% Channel Utilization"	"Wi-Fi [MediaTek Wi-Fi 6 MT7921 Wireless LAN Card]"
11-Dec-23 4:10:00 PM	6C:B7:49:E9:C9:A9	""	"Honor 7X"	""	""	-83	36	"1"	"Ch 1 [2.412 GHz]"	""	"1 Station, 0% Channel Utilization"	"Wi-Fi [MediaTek Wi-Fi 6 MT7921 Wireless LAN Card]"
11-Dec-23 4:10:00 PM	1C:28:AF:5C:09:60	""	"eduroam"	""	""	-83	36	"2"	"Ch 1 [2.412 GHz]"	""	"2 Stations, 76% Channel Utilization"	"Wi-Fi [MediaTek Wi-Fi 6 MT7921 Wireless LAN Card]"
11-Dec-23 4:10:00 PM	D0:4D:C6:F2:61:21	""	"tudelft-dastud"	""	""	-83	36	"0"	"Ch 6 [2.437 GHz]"	""	"0 Stations, 30% Channel Utilization"	"Wi-Fi [MediaTek Wi-Fi 6 MT7921 Wireless LAN Card]"
11-Dec-23 4:10:00 PM	D0:4D:C6:F2:8C:31	""	"tudelft-dastud"	""	""	-82	39	"0"	"Ch 100 [5.500 GHz]"	""	"0 Stations, 7% Channel Utilization"	"Wi-Fi [MediaTek Wi-Fi 6 MT7921 Wireless LAN Card]"
11-Dec-23 4:10:00 PM	D0:4D:C6:F2:A8:41	""	"tudelft-dastud"	""	""	-82	39	"0"	"Ch 6 [2.437 GHz]"	""	"0 Stations, 18% Channel Utilization"	"Wi-Fi [MediaTek Wi-Fi 6 MT7921 Wireless LAN Card]"
11-Dec-23 4:10:00 PM	D0:4D:C6:F2:8C:32	""	"TUD-facility"	""	""	-82	39	"0"	"Ch 100 [5.500 GHz]"	""	"0 Stations, 7% Channel Utilization"	"Wi-Fi [MediaTek Wi-Fi 6 MT7921 Wireless LAN Card]"
11-Dec-23 4:10:00 PM	D0:4D:C6:F2:8C:30	""	"eduroam"	""	""	-82	39	"13"	"Ch 100 [5.500 GHz]"	""	"13 Stations, 7% Channel Utilization"	"Wi-Fi [MediaTek Wi-Fi 6 MT7921 Wireless LAN Card]"
11-Dec-23 4:10:00 PM	D0:4D:C6:F2:B2:A1	""	"tudelft-dastud"	""	""	-82	39	"0"	"Ch 1 [2.412 GHz]"	""	"0 Stations, 18% Channel Utilization"	"Wi-Fi [MediaTek Wi-Fi 6 MT7921 Wireless LAN Card]"
11-Dec-23 4:10:00 PM	D0:4D:C6:F2:4F:C0	""	"eduroam"	""	""	-81	42	"0"	"Ch 11 [2.462 GHz]"	""	"0 Stations, 55% Channel Utilization"	"Wi-Fi [MediaTek Wi-Fi 6 MT7921 Wireless LAN Card]"
11-Dec-23 4:10:00 PM	D0:4D:C6:F2:B2:A2	""	"TUD-facility"	""	""	-81	42	"0"	"Ch 1 [2.412 GHz]"	""	"0 Stations, 18% Channel Utilization"	"Wi-Fi [MediaTek Wi-Fi 6 MT7921 Wireless LAN Card]"
11-Dec-23 4:10:00 PM	D0:4D:C6:F2:ED:A0	""	"eduroam"	""	""	-80	45	"3"	"Ch 6 [2.437 GHz]"	""	"3 Stations, 31% Channel Utilization"	"Wi-Fi [MediaTek Wi-Fi 6 MT7921 Wireless LAN Card]"
11-Dec-23 4:10:00 PM	1C:28:AF:65:FE:02	""	"TUD-facility"	""	""	-80	45	"0"	"Ch 6 [2.437 GHz]"	""	"0 Stations, 24% Channel Utilization"	"Wi-Fi [MediaTek Wi-Fi 6 MT7921 Wireless LAN Card]"
11-Dec-23 4:10:00 PM	D0:4D:C6:F2:61:20	""	"eduroam"	""	""	-79	48	"0"	"Ch 6 [2.437 GHz]"	""	"0 Stations, 30% Channel Utilization"	"Wi-Fi [MediaTek Wi-Fi 6 MT7921 Wireless LAN Card]"
11-Dec-23 4:10:00 PM	D0:4D:C6:F2:B2:A0	""	"eduroam"	""	""	-79	48	"0"	"Ch 1 [2.412 GHz]"	""	"0 Stations, 18% Channel Utilization"	"Wi-Fi [MediaTek Wi-Fi 6 MT7921 Wireless LAN Card]"
11-Dec-23 4:10:00 PM	1C:28:AF:5B:E5:50	""	"eduroam"	""	""	-79	48	"5"	"Ch 44 [5.220 GHz]"	""	"5 Stations, 22% Channel Utilization"	"Wi-Fi [MediaTek Wi-Fi 6 MT7921 Wireless LAN Card]"
11-Dec-23 4:10:00 PM	D0:4D:C6:F2:A8:42	""	"TUD-facility"	""	""	-78	51	"0"	"Ch 6 [2.437 GHz]"	""	"0 Stations, 18% Channel Utilization"	"Wi-Fi [MediaTek Wi-Fi 6 MT7921 Wireless LAN Card]"
11-Dec-23 4:10:00 PM	D0:4D:C6:F2:A8:40	""	"eduroam"	""	""	-78	51	"0"	"Ch 6 [2.437 GHz]"	""	"0 Stations, 19% Channel Utilization"	"Wi-Fi [MediaTek Wi-Fi 6 MT7921 Wireless LAN Card]"
11-Dec-23 4:10:00 PM	1C:28:AF:5C:09:62	""	"TUD-facility"	""	""	-78	51	"0"	"Ch 1 [2.412 GHz]"	""	"0 Stations, 76% Channel Utilization"	"Wi-Fi [MediaTek Wi-Fi 6 MT7921 Wireless LAN Card]"
11-Dec-23 4:10:00 PM	1C:28:AF:5C:09:61	""	"tudelft-dastud"	""	""	-78	51	"0"	"Ch 1 [2.412 GHz]"	""	"0 Stations, 76% Channel Utilization"	"Wi-Fi [MediaTek Wi-Fi 6 MT7921 Wireless LAN Card]"
11-Dec-23 4:10:00 PM	D0:4D:C6:F2:EC:92	""	"TUD-facility"	""	""	-78	51	"0"	"Ch 104 [5.520 GHz]"	""	"0 Stations, 4% Channel Utilization"	"Wi-Fi [MediaTek Wi-Fi 6 MT7921 Wireless LAN Card]"
11-Dec-23 4:10:00 PM	D0:4D:C6:F2:EC:90	""	"eduroam"	""	""	-78	51	"18"	"Ch 104 [5.520 GHz]"	""	"18 Stations, 4% Channel Utilization"	"Wi-Fi [MediaTek Wi-Fi 6 MT7921 Wireless LAN Card]"
