2023/12/15 16:55:56	"MAC Address"	"Vendor"	"SSID"	"Access Point Name"	"Connected AP"	"Signal Strength"	"Quality"	"Station Count"	"Frequency"	"Position"	"Info"	"Adapter"
2023/12/15 16:55:57	D0:4D:C6:F2:50:50	"Aruba, a Hewlett Packard Enterprise Company"	"eduroam"	""	""	-97	0	"3"	"Ch 108 [5.540 GHz]"	""	"3 Stations, 3% Channel Utilization"	"WLAN 2 [MediaTek Wi-Fi 6 MT7921 Wireless LAN Card]"
2023/12/15 16:55:57	1C:28:AF:5B:34:F0	"Aruba, a Hewlett Packard Enterprise Company"	"eduroam"	""	""	-94	3	"2"	"Ch 52 [5.260 GHz]"	""	"2 Stations, 3% Channel Utilization"	"WLAN 2 [MediaTek Wi-Fi 6 MT7921 Wireless LAN Card]"
2023/12/15 16:55:57	D0:4D:C6:F2:8E:90	"Aruba, a Hewlett Packard Enterprise Company"	"eduroam"	""	""	-94	3	"11"	"Ch 136 [5.680 GHz]"	""	"11 Stations, 4% Channel Utilization"	"WLAN 2 [MediaTek Wi-Fi 6 MT7921 Wireless LAN Card]"
2023/12/15 16:55:57	1C:28:AF:65:F5:E0	"Aruba, a Hewlett Packard Enterprise Company"	"eduroam"	""	""	-93	6	"0"	"Ch 11 [2.462 GHz]"	""	"0 Stations, 28% Channel Utilization"	"WLAN 2 [MediaTek Wi-Fi 6 MT7921 Wireless LAN Card]"
2023/12/15 16:55:57	D0:4D:C6:F2:C5:E0	"Aruba, a Hewlett Packard Enterprise Company"	"eduroam"	""	""	-92	9	"0"	"Ch 1 [2.412 GHz]"	""	"0 Stations, 30% Channel Utilization"	"WLAN 2 [MediaTek Wi-Fi 6 MT7921 Wireless LAN Card]"
2023/12/15 16:55:57	D0:4D:C6:F2:8D:F0	"Aruba, a Hewlett Packard Enterprise Company"	"eduroam"	""	""	-92	9	"12"	"Ch 40 [5.200 GHz]"	""	"12 Stations, 8% Channel Utilization"	"WLAN 2 [MediaTek Wi-Fi 6 MT7921 Wireless LAN Card]"
2023/12/15 16:55:57	1C:28:AF:65:F9:E0	"Aruba, a Hewlett Packard Enterprise Company"	"eduroam"	""	""	-89	18	"2"	"Ch 11 [2.462 GHz]"	""	"2 Stations, 27% Channel Utilization"	"WLAN 2 [MediaTek Wi-Fi 6 MT7921 Wireless LAN Card]"
2023/12/15 16:55:57	D0:4D:C6:F2:4D:10	"Aruba, a Hewlett Packard Enterprise Company"	"eduroam"	""	""	-87	24	"2"	"Ch 44 [5.220 GHz]"	""	"2 Stations, 8% Channel Utilization"	"WLAN 2 [MediaTek Wi-Fi 6 MT7921 Wireless LAN Card]"
2023/12/15 16:55:57	1C:28:AF:65:EA:50	"Aruba, a Hewlett Packard Enterprise Company"	"eduroam"	""	""	-86	27	"58"	"Ch 136 [5.680 GHz]"	""	"58 Stations, 5% Channel Utilization"	"WLAN 2 [MediaTek Wi-Fi 6 MT7921 Wireless LAN Card]"
2023/12/15 16:55:57	1C:28:AF:65:F8:50	"Aruba, a Hewlett Packard Enterprise Company"	"eduroam"	""	""	-86	27	"39"	"Ch 52 [5.260 GHz]"	""	"39 Stations, 7% Channel Utilization"	"WLAN 2 [MediaTek Wi-Fi 6 MT7921 Wireless LAN Card]"
2023/12/15 16:55:57	1C:28:AF:66:10:20	"Aruba, a Hewlett Packard Enterprise Company"	"eduroam"	""	""	-84	33	"1"	"Ch 1 [2.412 GHz]"	""	"1 Station, 32% Channel Utilization"	"WLAN 2 [MediaTek Wi-Fi 6 MT7921 Wireless LAN Card]"
