08/12/2023 13:38:07	"MAC Address"	"Vendor"	"SSID"	"Access Point Name"	"Connected AP"	"Signal Strength"	"Quality"	"Station Count"	"Frequency"	"Position"	"Info"	"Adapter"
08/12/2023 13:38:10	1C:28:AF:5B:FC:90	""	"eduroam"	""	"Connected AP"	-64	80	"10"	"Ch 52 [5.260 GHz]"	""	"10 Stations, 14% Channel Utilization"	"Wi-Fi [Intel(R) Wi-Fi 6E AX211 160MHz]"
08/12/2023 13:38:10	D0:4D:C6:F2:4F:C2	""	"TUD-facility"	""	""	-71	65	"0"	"Ch 11 [2.462 GHz]"	""	"0 Stations, 37% Channel Utilization"	"Wi-Fi [Intel(R) Wi-Fi 6E AX211 160MHz]"
08/12/2023 13:38:10	D0:4D:C6:F2:B2:A2	""	"TUD-facility"	""	""	-80	38	"0"	"Ch 1 [2.412 GHz]"	""	"0 Stations, 15% Channel Utilization"	"Wi-Fi [Intel(R) Wi-Fi 6E AX211 160MHz]"
08/12/2023 13:38:10	1C:28:AF:5B:DB:E1	""	"tudelft-dastud"	""	""	-76	50	"0"	"Ch 1 [2.412 GHz]"	""	"0 Stations, 21% Channel Utilization"	"Wi-Fi [Intel(R) Wi-Fi 6E AX211 160MHz]"
08/12/2023 13:38:10	D0:4D:C6:F2:EC:82	""	"TUD-facility"	""	""	-82	33	"0"	"Ch 6 [2.437 GHz]"	""	"0 Stations, 38% Channel Utilization"	"Wi-Fi [Intel(R) Wi-Fi 6E AX211 160MHz]"
08/12/2023 13:38:10	D0:4D:C6:F2:92:C1	""	"tudelft-dastud"	""	""	-70	67	"0"	"Ch 1 [2.412 GHz]"	""	"0 Stations, 63% Channel Utilization"	"Wi-Fi [Intel(R) Wi-Fi 6E AX211 160MHz]"
08/12/2023 13:38:10	1C:28:AF:5C:01:00	""	"eduroam"	""	""	-78	43	"0"	"Ch 1 [2.412 GHz]"	""	"0 Stations, 42% Channel Utilization"	"Wi-Fi [Intel(R) Wi-Fi 6E AX211 160MHz]"
08/12/2023 13:38:10	1C:28:AF:5C:01:02	""	"TUD-facility"	""	""	-81	35	"0"	"Ch 1 [2.412 GHz]"	""	"0 Stations, 32% Channel Utilization"	"Wi-Fi [Intel(R) Wi-Fi 6E AX211 160MHz]"
08/12/2023 13:38:10	D0:4D:C6:F2:4F:D2	""	"TUD-facility"	""	""	-81	35	"0"	"Ch 40 [5.200 GHz]"	""	"0 Stations, 12% Channel Utilization"	"Wi-Fi [Intel(R) Wi-Fi 6E AX211 160MHz]"
08/12/2023 13:38:10	D0:4D:C6:F2:4F:D1	""	"tudelft-dastud"	""	""	-81	35	"0"	"Ch 40 [5.200 GHz]"	""	"0 Stations, 14% Channel Utilization"	"Wi-Fi [Intel(R) Wi-Fi 6E AX211 160MHz]"
