11/12/2023 13:13:49	"MAC Address"	"Vendor"	"SSID"	"Access Point Name"	"Connected AP"	"Signal Strength"	"Quality"	"Station Count"	"Frequency"	"Position"	"Info"	"Adapter"
11/12/2023 13:13:49	D0:4D:C6:F2:4E:C1	""	"tudelft-dastud"	""	""	-85	26	"0"	"Ch 11 [2.462 GHz]"	""	"0 Stations, 21% Channel Utilization"	"Wi-Fi [Intel(R) Wireless-AC 9560 160MHz]"
11/12/2023 13:13:49	D0:4D:C6:F2:4E:C0	""	"eduroam"	""	""	-84	29	"1"	"Ch 11 [2.462 GHz]"	""	"1 Station, 21% Channel Utilization"	"Wi-Fi [Intel(R) Wireless-AC 9560 160MHz]"
11/12/2023 13:13:49	D0:4D:C6:F2:8D:D2	""	"TUD-facility"	""	""	-88	20	"0"	"Ch 52 [5.260 GHz]"	""	"0 Stations, 11% Channel Utilization"	"Wi-Fi [Intel(R) Wireless-AC 9560 160MHz]"
11/12/2023 13:13:49	A2:2A:F1:37:0B:03	""	""	""	""	-83	31	""	"Ch 6 [2.437 GHz]"	""	""	"Wi-Fi [Intel(R) Wireless-AC 9560 160MHz]"
11/12/2023 13:13:49	D0:4D:C6:F2:BD:D0	""	"eduroam"	""	""	-85	26	"12"	"Ch 44 [5.220 GHz]"	""	"12 Stations, 8% Channel Utilization"	"Wi-Fi [Intel(R) Wireless-AC 9560 160MHz]"
11/12/2023 13:13:49	D0:4D:C6:F2:DB:81	""	"tudelft-dastud"	""	""	-78	43	"0"	"Ch 6 [2.437 GHz]"	""	"0 Stations, 10% Channel Utilization"	"Wi-Fi [Intel(R) Wireless-AC 9560 160MHz]"
11/12/2023 13:13:49	D0:4D:C6:F2:DB:80	""	"eduroam"	""	""	-77	46	"1"	"Ch 6 [2.437 GHz]"	""	"1 Station, 10% Channel Utilization"	"Wi-Fi [Intel(R) Wireless-AC 9560 160MHz]"
11/12/2023 13:13:49	D0:4D:C6:F2:4D:22	""	"TUD-facility"	""	""	-70	67	"0"	"Ch 6 [2.437 GHz]"	""	"0 Stations, 18% Channel Utilization"	"Wi-Fi [Intel(R) Wireless-AC 9560 160MHz]"
11/12/2023 13:13:49	D0:4D:C6:F2:4D:21	""	"tudelft-dastud"	""	""	-70	67	"0"	"Ch 6 [2.437 GHz]"	""	"0 Stations, 18% Channel Utilization"	"Wi-Fi [Intel(R) Wireless-AC 9560 160MHz]"
11/12/2023 13:13:49	D0:4D:C6:F2:4D:20	""	"eduroam"	""	""	-70	67	"1"	"Ch 6 [2.437 GHz]"	""	"1 Station, 18% Channel Utilization"	"Wi-Fi [Intel(R) Wireless-AC 9560 160MHz]"
11/12/2023 13:13:49	D0:4D:C6:F2:C3:C1	""	"tudelft-dastud"	""	""	-77	46	"0"	"Ch 6 [2.437 GHz]"	""	"0 Stations, 19% Channel Utilization"	"Wi-Fi [Intel(R) Wireless-AC 9560 160MHz]"
11/12/2023 13:13:49	D0:4D:C6:F2:C3:C0	""	"eduroam"	""	""	-77	46	"0"	"Ch 6 [2.437 GHz]"	""	"0 Stations, 19% Channel Utilization"	"Wi-Fi [Intel(R) Wireless-AC 9560 160MHz]"
11/12/2023 13:13:49	D0:4D:C6:F2:DB:92	""	"TUD-facility"	""	""	-86	24	"0"	"Ch 136 [5.680 GHz]"	""	"0 Stations, 9% Channel Utilization"	"Wi-Fi [Intel(R) Wireless-AC 9560 160MHz]"
