12/12/2023 12:59:18	"MAC Address"	"Vendor"	"SSID"	"Access Point Name"	"Connected AP"	"Signal Strength"	"Quality"	"Station Count"	"Frequency"	"Position"	"Info"	"Adapter"
12/12/2023 12:59:23	1C:28:AF:5C:42:82	"Aruba, a Hewlett Packard Enterprise Company"	"TUD-facility"	""	""	-75	53	"0"	"Ch 6 [2.437 GHz]"	""	"0 Stations, 41% Channel Utilization"	"WiFi [Intel(R) Wi-Fi 6E AX211 160MHz]"
12/12/2023 12:59:23	1C:28:AF:5C:42:81	"Aruba, a Hewlett Packard Enterprise Company"	"tudelft-dastud"	""	""	-75	53	"0"	"Ch 6 [2.437 GHz]"	""	"0 Stations, 41% Channel Utilization"	"WiFi [Intel(R) Wi-Fi 6E AX211 160MHz]"
12/12/2023 12:59:23	D0:4D:C6:F2:50:12	"Aruba, a Hewlett Packard Enterprise Company"	"TUD-facility"	""	""	-80	38	"0"	"Ch 36 [5.180 GHz]"	""	"0 Stations, 17% Channel Utilization"	"WiFi [Intel(R) Wi-Fi 6E AX211 160MHz]"
12/12/2023 12:59:23	D0:4D:C6:F2:50:11	"Aruba, a Hewlett Packard Enterprise Company"	"tudelft-dastud"	""	""	-81	35	"0"	"Ch 36 [5.180 GHz]"	""	"0 Stations, 17% Channel Utilization"	"WiFi [Intel(R) Wi-Fi 6E AX211 160MHz]"
12/12/2023 12:59:23	CE:D1:61:6E:C4:FD	""	"Galaxy A71C509"	""	""	-75	53	""	"Ch 6 [2.437 GHz]"	""	""	"WiFi [Intel(R) Wi-Fi 6E AX211 160MHz]"
12/12/2023 12:59:23	D0:4D:C6:F2:DD:F2	"Aruba, a Hewlett Packard Enterprise Company"	"TUD-facility"	""	""	-74	57	"0"	"Ch 136 [5.680 GHz]"	""	"0 Stations, 5% Channel Utilization"	"WiFi [Intel(R) Wi-Fi 6E AX211 160MHz]"
12/12/2023 12:59:23	3E:27:D1:8B:88:68	""	"."	""	""	-75	53	""	"Ch 1 [2.412 GHz]"	""	""	"WiFi [Intel(R) Wi-Fi 6E AX211 160MHz]"
12/12/2023 12:59:23	D0:4D:C6:F2:9D:F2	"Aruba, a Hewlett Packard Enterprise Company"	"TUD-facility"	""	""	-87	22	"0"	"Ch 108 [5.540 GHz]"	""	"0 Stations, 9% Channel Utilization"	"WiFi [Intel(R) Wi-Fi 6E AX211 160MHz]"
12/12/2023 12:59:23	D0:4D:C6:F2:9D:F1	"Aruba, a Hewlett Packard Enterprise Company"	"tudelft-dastud"	""	""	-87	22	"1"	"Ch 108 [5.540 GHz]"	""	"1 Station, 9% Channel Utilization"	"WiFi [Intel(R) Wi-Fi 6E AX211 160MHz]"
12/12/2023 12:59:23	D0:4D:C6:F2:9D:F0	"Aruba, a Hewlett Packard Enterprise Company"	"eduroam"	""	""	-87	22	"4"	"Ch 108 [5.540 GHz]"	""	"4 Stations, 9% Channel Utilization"	"WiFi [Intel(R) Wi-Fi 6E AX211 160MHz]"
12/12/2023 12:59:23	1C:28:AF:5B:FC:92	"Aruba, a Hewlett Packard Enterprise Company"	"TUD-facility"	""	""	-82	33	"0"	"Ch 52 [5.260 GHz]"	""	"0 Stations, 14% Channel Utilization"	"WiFi [Intel(R) Wi-Fi 6E AX211 160MHz]"
12/12/2023 12:59:23	D0:4D:C6:F2:DD:E2	"Aruba, a Hewlett Packard Enterprise Company"	"TUD-facility"	""	""	-70	67	"0"	"Ch 11 [2.462 GHz]"	""	"0 Stations, 64% Channel Utilization"	"WiFi [Intel(R) Wi-Fi 6E AX211 160MHz]"
12/12/2023 12:59:23	D0:4D:C6:F2:DD:E1	"Aruba, a Hewlett Packard Enterprise Company"	"tudelft-dastud"	""	""	-70	67	"0"	"Ch 11 [2.462 GHz]"	""	"0 Stations, 64% Channel Utilization"	"WiFi [Intel(R) Wi-Fi 6E AX211 160MHz]"
12/12/2023 12:59:23	D0:4D:C6:F2:DD:E0	"Aruba, a Hewlett Packard Enterprise Company"	"eduroam"	""	""	-70	67	"1"	"Ch 11 [2.462 GHz]"	""	"1 Station, 64% Channel Utilization"	"WiFi [Intel(R) Wi-Fi 6E AX211 160MHz]"
12/12/2023 12:59:23	D0:4D:C6:F2:8C:32	"Aruba, a Hewlett Packard Enterprise Company"	"TUD-facility"	""	""	-90	16	"0"	"Ch 100 [5.500 GHz]"	""	"0 Stations, 31% Channel Utilization"	"WiFi [Intel(R) Wi-Fi 6E AX211 160MHz]"
12/12/2023 12:59:23	D0:4D:C6:F2:50:02	"Aruba, a Hewlett Packard Enterprise Company"	"TUD-facility"	""	""	-79	40	"0"	"Ch 6 [2.437 GHz]"	""	"0 Stations, 49% Channel Utilization"	"WiFi [Intel(R) Wi-Fi 6E AX211 160MHz]"
12/12/2023 12:59:23	D0:4D:C6:F2:50:01	"Aruba, a Hewlett Packard Enterprise Company"	"tudelft-dastud"	""	""	-79	40	"0"	"Ch 6 [2.437 GHz]"	""	"0 Stations, 49% Channel Utilization"	"WiFi [Intel(R) Wi-Fi 6E AX211 160MHz]"
12/12/2023 12:59:23	D0:4D:C6:F2:50:00	"Aruba, a Hewlett Packard Enterprise Company"	"eduroam"	""	""	-77	46	"0"	"Ch 6 [2.437 GHz]"	""	"0 Stations, 48% Channel Utilization"	"WiFi [Intel(R) Wi-Fi 6E AX211 160MHz]"
12/12/2023 12:59:23	1C:28:AF:5C:42:80	"Aruba, a Hewlett Packard Enterprise Company"	"eduroam"	""	""	-75	53	"1"	"Ch 6 [2.437 GHz]"	""	"1 Station, 41% Channel Utilization"	"WiFi [Intel(R) Wi-Fi 6E AX211 160MHz]"
12/12/2023 12:59:23	1C:28:AF:5B:FC:90	"Aruba, a Hewlett Packard Enterprise Company"	"eduroam"	""	""	-86	24	"25"	"Ch 52 [5.260 GHz]"	""	"25 Stations, 15% Channel Utilization"	"WiFi [Intel(R) Wi-Fi 6E AX211 160MHz]"
12/12/2023 12:59:23	D0:4D:C6:F2:FA:12	"Aruba, a Hewlett Packard Enterprise Company"	"TUD-facility"	""	""	-87	22	"0"	"Ch 52 [5.260 GHz]"	""	"0 Stations, 15% Channel Utilization"	"WiFi [Intel(R) Wi-Fi 6E AX211 160MHz]"
12/12/2023 12:59:23	D0:4D:C6:F2:FA:11	"Aruba, a Hewlett Packard Enterprise Company"	"tudelft-dastud"	""	""	-88	20	"0"	"Ch 52 [5.260 GHz]"	""	"0 Stations, 14% Channel Utilization"	"WiFi [Intel(R) Wi-Fi 6E AX211 160MHz]"
12/12/2023 12:59:23	D0:4D:C6:F2:FA:10	"Aruba, a Hewlett Packard Enterprise Company"	"eduroam"	""	""	-87	22	"24"	"Ch 52 [5.260 GHz]"	""	"24 Stations, 25% Channel Utilization"	"WiFi [Intel(R) Wi-Fi 6E AX211 160MHz]"
12/12/2023 12:59:23	D0:4D:C6:F2:50:10	"Aruba, a Hewlett Packard Enterprise Company"	"eduroam"	""	""	-80	38	"16"	"Ch 36 [5.180 GHz]"	""	"16 Stations, 17% Channel Utilization"	"WiFi [Intel(R) Wi-Fi 6E AX211 160MHz]"
12/12/2023 12:59:23	D0:4D:C6:F2:DD:F1	"Aruba, a Hewlett Packard Enterprise Company"	"tudelft-dastud"	""	""	-74	57	"0"	"Ch 136 [5.680 GHz]"	""	"0 Stations, 5% Channel Utilization"	"WiFi [Intel(R) Wi-Fi 6E AX211 160MHz]"
12/12/2023 12:59:23	D0:4D:C6:F2:DD:F0	"Aruba, a Hewlett Packard Enterprise Company"	"eduroam"	""	"Connected AP"	-72	62	"16"	"Ch 136 [5.680 GHz]"	""	"16 Stations, 7% Channel Utilization"	"WiFi [Intel(R) Wi-Fi 6E AX211 160MHz]"
12/12/2023 12:59:23	1C:28:AF:5C:42:92	"Aruba, a Hewlett Packard Enterprise Company"	"TUD-facility"	""	""	-85	26	"0"	"Ch 64 [5.320 GHz]"	""	"0 Stations, 68% Channel Utilization"	"WiFi [Intel(R) Wi-Fi 6E AX211 160MHz]"
12/12/2023 12:59:23	1C:28:AF:5C:42:91	"Aruba, a Hewlett Packard Enterprise Company"	"tudelft-dastud"	""	""	-86	24	"0"	"Ch 64 [5.320 GHz]"	""	"0 Stations, 68% Channel Utilization"	"WiFi [Intel(R) Wi-Fi 6E AX211 160MHz]"
12/12/2023 12:59:23	1C:28:AF:5C:42:90	"Aruba, a Hewlett Packard Enterprise Company"	"eduroam"	""	""	-86	24	"7"	"Ch 64 [5.320 GHz]"	""	"7 Stations, 68% Channel Utilization"	"WiFi [Intel(R) Wi-Fi 6E AX211 160MHz]"
